ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
syp03010	Ribosome	52	0.7854933506342574	2.9832103166580266	1.19763968245811e-17	9.58111745966488e-16	6.429434084775116e-16	380	tags=69%, list=12%, signal=62%	SYNPCC7002_A1052/SYNPCC7002_A1026/SYNPCC7002_A1027/SYNPCC7002_A1053/SYNPCC7002_A1051/SYNPCC7002_A1050/SYNPCC7002_A1959/SYNPCC7002_A1054/SYNPCC7002_A1055/SYNPCC7002_A1057/SYNPCC7002_A1058/SYNPCC7002_A1059/SYNPCC7002_A1056/SYNPCC7002_A1060/SYNPCC7002_A1049/SYNPCC7002_A1028/SYNPCC7002_A1048/SYNPCC7002_A1061/SYNPCC7002_A1062/SYNPCC7002_A1064/SYNPCC7002_A1065/SYNPCC7002_A2060/SYNPCC7002_A1063/SYNPCC7002_A1029/SYNPCC7002_A1038/SYNPCC7002_A1041/SYNPCC7002_A1033/SYNPCC7002_A2063/SYNPCC7002_A1039/SYNPCC7002_A1044/SYNPCC7002_A1043/SYNPCC7002_A1037/SYNPCC7002_A0955/SYNPCC7002_A0490/SYNPCC7002_A2083/SYNPCC7002_A2064
syp00910	Nitrogen metabolism	19	0.7348762082239194	2.2075688865981635	1.767224037147493e-5	7.068896148589973e-4	4.743601362869587e-4	124	tags=47%, list=4%, signal=46%	SYNPCC7002_A0643/SYNPCC7002_A1313/SYNPCC7002_A1314/SYNPCC7002_A1827/SYNPCC7002_A0860/SYNPCC7002_A0862/SYNPCC7002_A0863/SYNPCC7002_A0246/SYNPCC7002_A0861
syp00920	Sulfur metabolism	15	0.7502607099207631	2.117143140578185	9.045329483639308e-5	0.0024120878623038154	0.0016186379075986128	303	tags=47%, list=10%, signal=42%	SYNPCC7002_A0795/SYNPCC7002_A0797/SYNPCC7002_A0798/SYNPCC7002_A1494/SYNPCC7002_A1344/SYNPCC7002_A0034/SYNPCC7002_A0799
syp01232	Nucleotide metabolism	22	0.6391854671842072	1.9763380306407992	4.056089578076989e-4	0.008112179156153978	0.005443699170577011	834	tags=68%, list=27%, signal=50%	SYNPCC7002_A0814/SYNPCC7002_A0343/SYNPCC7002_A2653/SYNPCC7002_A0954/SYNPCC7002_A1046/SYNPCC7002_A1316/SYNPCC7002_A1310/SYNPCC7002_A0953/SYNPCC7002_A1437/SYNPCC7002_A0882/SYNPCC7002_A1689/SYNPCC7002_A2549/SYNPCC7002_A1420/SYNPCC7002_A0266/SYNPCC7002_A1692
syp00250	Alanine, aspartate and glutamate metabolism	22	0.6206102484385518	1.918904135286087	8.340727226707439e-4	0.013345163562731903	0.008955307127622726	692	tags=64%, list=22%, signal=50%	SYNPCC7002_A2653/SYNPCC7002_A0246/SYNPCC7002_A1071/SYNPCC7002_A2806/SYNPCC7002_A0177/SYNPCC7002_A0824/SYNPCC7002_A2487/SYNPCC7002_A1545/SYNPCC7002_A0301/SYNPCC7002_A0512/SYNPCC7002_A0882/SYNPCC7002_A0884/SYNPCC7002_A1150/SYNPCC7002_A2488
syp00400	Phenylalanine, tyrosine and tryptophan biosynthesis	18	0.6135737571185191	1.8309524428708555	0.002298736933223499	0.02921360290653459	0.019603865108332424	787	tags=61%, list=25%, signal=46%	SYNPCC7002_A2537/SYNPCC7002_A0677/SYNPCC7002_A0169/SYNPCC7002_A1348/SYNPCC7002_A2203/SYNPCC7002_A0562/SYNPCC7002_A0512/SYNPCC7002_A2517/SYNPCC7002_A2147/SYNPCC7002_A0681/SYNPCC7002_A0511
syp00220	Arginine biosynthesis	18	0.6099508520372563	1.8201414086115364	0.0025561902543217766	0.02921360290653459	0.019603865108332424	386	tags=39%, list=12%, signal=34%	SYNPCC7002_A0271/SYNPCC7002_A0246/SYNPCC7002_A2806/SYNPCC7002_A2516/SYNPCC7002_A2487/SYNPCC7002_A1545/SYNPCC7002_A0674
syp00230	Purine metabolism	39	0.49955535326189626	1.7508922027803744	0.003050352772817992	0.03050352772817992	0.020469472554436527	639	tags=41%, list=20%, signal=33%	SYNPCC7002_A0814/SYNPCC7002_A1494/SYNPCC7002_A1691/SYNPCC7002_A2653/SYNPCC7002_A0954/SYNPCC7002_A2030/SYNPCC7002_A1344/SYNPCC7002_A1046/SYNPCC7002_A1545/SYNPCC7002_A0007/SYNPCC7002_A1546/SYNPCC7002_A1667/SYNPCC7002_A2826/SYNPCC7002_A1437/SYNPCC7002_A0882/SYNPCC7002_A2549
syp01212	Fatty acid metabolism	13	0.6669299914493044	1.80101988868281	0.005145874424270651	0.037424541267422916	0.02511383690313906	352	tags=46%, list=11%, signal=41%	SYNPCC7002_A2559/SYNPCC7002_A2367/SYNPCC7002_A0052/SYNPCC7002_A0070/SYNPCC7002_A1023/SYNPCC7002_A1676
syp00300	Lysine biosynthesis	12	0.6721019731092841	1.7645640193212078	0.0050400836337135884	0.037424541267422916	0.02511383690313906	776	tags=67%, list=25%, signal=50%	SYNPCC7002_A2188/SYNPCC7002_A1642/SYNPCC7002_A0097/SYNPCC7002_A1267/SYNPCC7002_A1203/SYNPCC7002_A2693/SYNPCC7002_A2131/SYNPCC7002_A0881
syp00061	Fatty acid biosynthesis	12	0.6703965252637973	1.760086466769096	0.0051147501838012715	0.037424541267422916	0.02511383690313906	352	tags=50%, list=11%, signal=45%	SYNPCC7002_A2559/SYNPCC7002_A2367/SYNPCC7002_A0052/SYNPCC7002_A0070/SYNPCC7002_A1023/SYNPCC7002_A1676
syp03060	Protein export	16	0.6070581693268731	1.7386168107028577	0.006605237875546919	0.043446624545941094	0.02915497173477626	571	tags=44%, list=18%, signal=36%	SYNPCC7002_A0656/SYNPCC7002_A1031/SYNPCC7002_A1259/SYNPCC7002_A0657/SYNPCC7002_A1047/SYNPCC7002_A0311/SYNPCC7002_A0767
syp00970	Aminoacyl-tRNA biosynthesis	63	0.39864287486337735	1.5748472988947662	0.007060076488715428	0.043446624545941094	0.02915497173477626	763	tags=49%, list=24%, signal=38%	SYNPCC7002_A0422/SYNPCC7002_A1656/SYNPCC7002_A2456/SYNPCC7002_A0182/SYNPCC7002_A1609/SYNPCC7002_A1394/SYNPCC7002_A1032/SYNPCC7002_A1662/SYNPCC7002_A0037/SYNPCC7002_A1025/SYNPCC7002_A0035/SYNPCC7002_A2328/SYNPCC7002_A0387/SYNPCC7002_A1694/SYNPCC7002_A1106/SYNPCC7002_A2706/SYNPCC7002_A2740/SYNPCC7002_A0447/SYNPCC7002_A2238/SYNPCC7002_A2275/SYNPCC7002_A0493/SYNPCC7002_A1216/SYNPCC7002_A1156/SYNPCC7002_A1338/SYNPCC7002_A1756/SYNPCC7002_A2293/SYNPCC7002_A0784/SYNPCC7002_A0599/SYNPCC7002_A2468/SYNPCC7002_A1597/SYNPCC7002_A0440
syp01200	Carbon metabolism	65	0.3997878905271508	1.5807293919979475	0.007610513476864297	0.04348864843922456	0.029183171978953322	657	tags=38%, list=21%, signal=31%	SYNPCC7002_A1301/SYNPCC7002_A1585/SYNPCC7002_A0448/SYNPCC7002_A0073/SYNPCC7002_A1658/SYNPCC7002_A0655/SYNPCC7002_A0052/SYNPCC7002_A0177/SYNPCC7002_A0110/SYNPCC7002_A0353/SYNPCC7002_A2857/SYNPCC7002_A0595/SYNPCC7002_A1269/SYNPCC7002_A1796/SYNPCC7002_A2558/SYNPCC7002_A1246/SYNPCC7002_A1022/SYNPCC7002_A1414/SYNPCC7002_A0130/SYNPCC7002_A0038/SYNPCC7002_A2665/SYNPCC7002_A0351/SYNPCC7002_A2443/SYNPCC7002_A0964/SYNPCC7002_A1798
syp00710	Carbon fixation by Calvin cycle	19	0.5806179132152627	1.7441768094702168	0.008689399311334417	0.04634346299378356	0.031098902798460018	657	tags=58%, list=21%, signal=46%	SYNPCC7002_A1301/SYNPCC7002_A1585/SYNPCC7002_A2857/SYNPCC7002_A0595/SYNPCC7002_A1269/SYNPCC7002_A1796/SYNPCC7002_A2558/SYNPCC7002_A1022/SYNPCC7002_A1414/SYNPCC7002_A2665/SYNPCC7002_A1798
syp00330	Arginine and proline metabolism	13	0.6427809710514808	1.735806348151857	0.010191587224185197	0.04796041046675387	0.03218395965532167	742	tags=62%, list=24%, signal=47%	SYNPCC7002_A0271/SYNPCC7002_A2283/SYNPCC7002_A1071/SYNPCC7002_A1109/SYNPCC7002_A0430/SYNPCC7002_A0512/SYNPCC7002_A1919/SYNPCC7002_A1782
