Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Candidate_RF01343_CRISPR-DR33	0	NA	NA	NA	NA	NA
Candidate_RF01701_Cyano-1	0.7977504601265238	1.5187692491777844	2.765499576197348	0.5491844085784101	0.582878903133331	0.7502267716519059
Candidate_RF02514_5_ureB_sRNA	9.187751879715353	0.036840710652946355	0.3718594794820219	0.09907159205478173	0.9210814273539932	0.9597074226946446
Candidate_RF02701_PsrR1	48.29617707644019	2.6771476173752493	0.5093864432319413	5.255631854647241	1.4751711872840817e-7	1.8612511464560875e-6
gene-SYNPCC7002_RS00010	558.050836296236	-0.002005065427551247	0.0926527900445476	-0.02164063733630912	0.9827346172065181	0.9900913329934664
gene-SYNPCC7002_RS00015	524.3510253197885	-0.20563015659276657	0.13774835669013985	-1.492795714836181	0.13549066934905546	0.2867856238515394
gene-SYNPCC7002_RS00025	84.46104125170613	-0.4049907023974484	0.3045780906761159	-1.3296777240228677	0.18362447736398185	0.3598950618238237
gene-SYNPCC7002_RS00030	136.664493617103	-0.7401790145119997	0.3266768131304851	-2.2657837494464252	0.023464626832979386	0.07541367628907802
gene-SYNPCC7002_RS00035	113.96625813082763	-0.10922295394887192	0.12329507132890873	-0.8858663430065485	0.37568955460639997	0.5710481230017279
gene-SYNPCC7002_RS00040	628.3536072023977	-0.2391483687011952	0.22716840920975148	-1.0527360275714317	0.2924619917442319	0.48122885039932195
gene-SYNPCC7002_RS00045	540.1216360464166	0.03329453812436032	0.06517069307340871	0.5108820629981198	0.6094336418401003	0.7713185891823143
gene-SYNPCC7002_RS00050	95.37441820610822	-0.21599785580134873	0.16294884396747397	-1.3255562331234692	0.18498673143492608	0.3614683257923843
gene-SYNPCC7002_RS00055	1492.2802805789358	0.7507973040601447	0.2986093785073973	2.5143125370442627	0.011926468938352142	0.043875278668425305
gene-SYNPCC7002_RS00060	447.19212270377363	0.19646688372914559	0.4213524150755115	0.4662768663469896	0.6410173353566138	0.7935937114610435
gene-SYNPCC7002_RS16035	840.2937469101072	-0.06706624881512158	0.5793150100028517	-0.11576818769945464	0.9078362634898531	0.9514312560260304
gene-SYNPCC7002_RS00070	1921.449024044104	-0.21016595770363106	0.5440883164628769	-0.38627177122626316	0.6992954045359995	0.8321632852975764
