Geneid	alanine	arginine	asparagine	aspartic.acid	cysteine	glutamine	glutamic.acid	glycine	histidine	isoleucine	leucine	lysine	methionine	phenylalanine	proline	serine	threonine	tryptophan	tyrosine	valine
gene-SYNPCC7002_RS00010	0.08482142857142858	0.05803571428571429	0.03794642857142857	0.04017857142857143	0.006696428571428571	0.07366071428571429	0.06473214285714286	0.05133928571428571	0.03125	0.07589285714285714	0.10491071428571429	0.04017857142857143	0.017857142857142856	0.03125	0.05133928571428571	0.060267857142857144	0.078125	0.008928571428571428	0.033482142857142856	0.049107142857142856
gene-SYNPCC7002_RS00015	0.07467532467532467	0.05844155844155844	0.025974025974025976	0.07467532467532467	0.025974025974025976	0.08116883116883117	0.05844155844155844	0.05844155844155844	0.016233766233766232	0.05519480519480519	0.13636363636363635	0.03571428571428571	0.00974025974025974	0.016233766233766232	0.07467532467532467	0.04220779220779221	0.04220779220779221	0.016233766233766232	0.022727272727272728	0.07467532467532467
gene-SYNPCC7002_RS00025	0.13186813186813187	0.08791208791208792	0.03296703296703297	0.02197802197802198	0.03296703296703297	0.04395604395604396	0.03296703296703297	0.054945054945054944	0.03296703296703297	0.054945054945054944	0.08791208791208792	0.01098901098901099	0.01098901098901099	0.04395604395604396	0.03296703296703297	0.054945054945054944	0.0989010989010989	0.01098901098901099	0.03296703296703297	0.08791208791208792
gene-SYNPCC7002_RS00030	0.08433734939759036	0.07228915662650602	0.024096385542168676	0.012048192771084338	0.024096385542168676	0.04819277108433735	0.012048192771084338	0.07228915662650602	0.060240963855421686	0.060240963855421686	0.0963855421686747	0.024096385542168676	0.03614457831325301	0.03614457831325301	0.03614457831325301	0.08433734939759036	0.0963855421686747	0.012048192771084338	0.03614457831325301	0.07228915662650602
gene-SYNPCC7002_RS00035	0.14410480349344978	0.039301310043668124	0.017467248908296942	0.08296943231441048	0.021834061135371178	0.0611353711790393	0.026200873362445413	0.08733624454148471	0.017467248908296942	0.08296943231441048	0.10043668122270742	0.034934497816593885	0.013100436681222707	0.026200873362445413	0.06986899563318777	0.026200873362445413	0.06550218340611354	0.004366812227074236	0.017467248908296942	0.0611353711790393
gene-SYNPCC7002_RS00040	0.13145539906103287	0.046948356807511735	0.04225352112676056	0.04225352112676056	0.014084507042253521	0.03286384976525822	0.046948356807511735	0.06103286384976526	0.028169014084507043	0.0892018779342723	0.09859154929577464	0.03755868544600939	0.018779342723004695	0.023474178403755867	0.056338028169014086	0.06572769953051644	0.046948356807511735	0.009389671361502348	0.018779342723004695	0.0892018779342723
gene-SYNPCC7002_RS00045	0.017857142857142856	0.08928571428571429	0.044642857142857144	0.0625	0.008928571428571428	0.03571428571428571	0.09821428571428571	0.05357142857142857	0.05357142857142857	0.10714285714285714	0.044642857142857144	0.026785714285714284	0.026785714285714284	0.017857142857142856	0.05357142857142857	0.05357142857142857	0.07142857142857142	0.017857142857142856	0.026785714285714284	0.08928571428571429
gene-SYNPCC7002_RS00050	0.0847457627118644	0.06779661016949153	0.0423728813559322	0.05084745762711865	0.01694915254237288	0.06779661016949153	0.06779661016949153	0.059322033898305086	0	0.0423728813559322	0.09322033898305085	0.07627118644067797	0.01694915254237288	0.03389830508474576	0.0423728813559322	0.059322033898305086	0.07627118644067797	0.03389830508474576	0.025423728813559324	0.0423728813559322
gene-SYNPCC7002_RS00055	0.10306406685236769	0.05013927576601671	0.052924791086350974	0.04178272980501393	0.011142061281337047	0.04735376044568245	0.052924791086350974	0.09749303621169916	0.027855153203342618	0.0807799442896936	0.09192200557103064	0.03899721448467967	0.016713091922005572	0.03064066852367688	0.03899721448467967	0.055710306406685235	0.06685236768802229	0.008356545961002786	0.03899721448467967	0.04735376044568245
gene-SYNPCC7002_RS00060	0.0425531914893617	0.03723404255319149	0.0425531914893617	0.05851063829787234	0.015957446808510637	0.047872340425531915	0.0797872340425532	0.06914893617021277	0.02127659574468085	0.06914893617021277	0.09574468085106383	0.05851063829787234	0.015957446808510637	0.03723404255319149	0.031914893617021274	0.0851063829787234	0.06914893617021277	0.010638297872340425	0.06914893617021277	0.0425531914893617
gene-SYNPCC7002_RS16035	0.0730593607305936	0.045662100456621	0.0639269406392694	0.0365296803652968	0.0136986301369863	0.0639269406392694	0.0730593607305936	0.0365296803652968	0.0136986301369863	0.091324200913242	0.0730593607305936	0.0593607305936073	0.0136986301369863	0.045662100456621	0.045662100456621	0.0821917808219178	0.0639269406392694	0.0182648401826484	0.0273972602739726	0.0593607305936073
gene-SYNPCC7002_RS00070	0.05263157894736842	0.034324942791762014	0.06407322654462243	0.059496567505720827	0.018306636155606407	0.057208237986270026	0.08466819221967964	0.05491990846681922	0.018306636155606407	0.06864988558352403	0.11670480549199085	0.09839816933638444	0.020594965675057208	0.038901601830663615	0.038901601830663615	0.059496567505720827	0.029748283752860413	0.013729977116704805	0.032036613272311214	0.038901601830663615
gene-SYNPCC7002_RS00075	0.116	0.044	0.036	0.04	0.016	0.04	0.104	0.068	0	0.076	0.116	0.048	0.008	0.036	0.056	0.056	0.036	0.02	0.036	0.048
gene-SYNPCC7002_RS00080	0.07920792079207921	0.056105610561056105	0.0429042904290429	0.07260726072607261	0.013201320132013201	0.0594059405940594	0.04950495049504951	0.0858085808580858	0.0429042904290429	0.0429042904290429	0.0924092409240924	0.036303630363036306	0.006600660066006601	0.0462046204620462	0.04950495049504951	0.0429042904290429	0.0594059405940594	0.026402640264026403	0.026402640264026403	0.06930693069306931
gene-SYNPCC7002_RS00085	0.072	0.064	0.048	0.056	0.008	0.072	0.064	0.064	0.024	0.04	0.104	0.032	0.016	0.04	0.072	0.032	0.056	0.008	0.04	0.088
gene-SYNPCC7002_RS00090	0.10101010101010101	0.050505050505050504	0.020202020202020204	0.04040404040404041	0.020202020202020204	0.0707070707070707	0.06060606060606061	0.050505050505050504	0.020202020202020204	0.030303030303030304	0.15151515151515152	0.04040404040404041	0.020202020202020204	0.06060606060606061	0.04040404040404041	0.0707070707070707	0.08080808080808081	0.020202020202020204	0.010101010101010102	0.04040404040404041
gene-SYNPCC7002_RS00095	0.02666666666666667	0.10666666666666667	0.05333333333333334	0.06666666666666667	0	0.08	0.05333333333333334	0.05333333333333334	0.04	0.09333333333333334	0.16	0.05333333333333334	0.013333333333333334	0.04	0.02666666666666667	0.02666666666666667	0.013333333333333334	0	0.02666666666666667	0.06666666666666667
gene-SYNPCC7002_RS00100	0.10567514677103718	0.05675146771037182	0.033268101761252444	0.043052837573385516	0.003913894324853229	0.043052837573385516	0.08414872798434442	0.06457925636007827	0.019569471624266144	0.06262230919765166	0.12720156555772993	0.05675146771037182	0.0136986301369863	0.046966731898238745	0.04500978473581213	0.04500978473581213	0.04500978473581213	0.011741682974559686	0.021526418786692758	0.07045009784735812
