"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"6","3","STRING Clusters","","Photosynthesis - antenna proteins","1.4E-4","cpcB|cpcA|cpcC","16020","247|226|229","2.22E-7","","CL:694","1.0","0"
"14","3","KEGG Pathways","","Photosynthesis - antenna proteins","1.7E-4","cpcB|cpcA|cpcC","16020","247|226|229","1.79E-6","","syp00196","0.9781204755942442","0"
"16","3","UniProt Keywords","","Phycobilisome","5.5E-4","cpcB|cpcA|cpcC","16020","247|226|229","2.55E-6","","KW-0605","0.845808407929145","0"
"21","3","GO Cellular Component","","Phycobilisome","7.6E-4","cpcB|cpcA|cpcC","16020","247|226|229","5.32E-6","","GO:0030089","0.8093643059748484","0"
"31","3","COMPARTMENTS","","Thylakoid membrane","0.0041","cpcB|cpcA|cpcC","16020","247|226|229","1.56E-5","","GOCC:0042651","0.6194331740598933","0"
"7","2","UniProt Keywords","","Bile pigment","0.0096","cpcB|cpcA","16020","247|226","8.96E-5","","KW-0089","0.523558848254454","0"
"59","3","UniProt Keywords","","Photosynthesis","0.0096","cpcB|cpcA|cpcC","16020","247|226|229","9.73E-5","","KW-0602","0.523558848254454","0"
"87","3","UniProt Keywords","","Thylakoid","0.0159","cpcB|cpcA|cpcC","16020","247|226|229","3.0E-4","","KW-0793","0.4667002153498066","0"
"97","3","GO Cellular Component","","Plasma membrane-derived thylakoid membrane","0.0194","cpcB|cpcA|cpcC","16020","247|226|229","4.1E-4","","GO:0031676","0.44428000876025514","0"
"14","2","COMPARTMENTS","","Phycobilisome","0.0195","cpcB|cpcA","16020","247|226","3.0E-4","","GOCC:0030089","0.4437006222489845","0"
"8","2","Pfam","","Phycobilisome protein","0.047","cpcB|cpcA","16020","247|226","1.1E-4","","PF00502","0.3445631184319789","0"
