"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"8","5","InterPro Domains","","Thiamin diphosphate-binding fold","2.12E-8","pdhA|pdhB|nifJ|ilvB|ilvB-2","163300","1501|2794|4537|4558|3796","1.78E-11","","IPR029061","1.0","0"
"5","4","Pfam","","Thiamine pyrophosphate enzyme, C-terminal TPP binding domain","6.92E-7","pdhA|nifJ|ilvB|ilvB-2","163300","1501|4537|4558|3796","1.65E-9","","PF02775","0.8027317581153325","0"
"7","4","UniProt Keywords","","Thiamine pyrophosphate","9.21E-7","pdhA|pdhB|ilvB|ilvB-2","163300","1501|2794|4558|3796","4.31E-9","","KW-0786","0.7865525856248464","0"
"10","4","UniProt Keywords","","Pyruvate","1.39E-6","ppsA|pdhA|pdhB|nifJ","163300","2302|1501|2794|4537","1.3E-8","","KW-0670","0.7632579552087071","0"
"14","4","KEGG Pathways","","Citrate cycle (TCA cycle)","3.85E-6","pdhA|pdhB|sucD|nifJ","163300","1501|2794|5902|4537","3.97E-8","","syp00020","0.7056002416007259","0"
"263","7","KEGG Pathways","","Biosynthesis of secondary metabolites","3.85E-6","ppsA|pdhA|pdhB|sucD|nifJ|ilvB|ilvB-2","163300","2302|1501|2794|5902|4537|4558|3796","6.7E-8","","syp01110","0.7056002416007259","0"
"20","4","KEGG Pathways","","Pyruvate metabolism","4.43E-6","ppsA|pdhA|pdhB|nifJ","163300","2302|1501|2794|4537","1.37E-7","","syp00620","0.6976584036977258","0"
"67","5","KEGG Pathways","","Carbon metabolism","4.54E-6","ppsA|pdhA|pdhB|sucD|nifJ","163300","2302|1501|2794|5902|4537","1.87E-7","","syp01200","0.696270262851191","0"
"24","4","KEGG Pathways","","Glycolysis / Gluconeogenesis","5.11E-6","ppsA|pdhA|pdhB|nifJ","163300","2302|1501|2794|4537","2.63E-7","","syp00010","0.6895765834893228","0"
"8","3","KEGG Pathways","","Butanoate metabolism","2.45E-5","nifJ|ilvB|ilvB-2","163300","4537|4558|3796","1.52E-6","","syp00650","0.6008647019301944","0"
"8","3","KEGG Pathways","","C5-Branched dibasic acid metabolism","2.45E-5","sucD|ilvB|ilvB-2","163300","5902|4558|3796","1.52E-6","","syp00660","0.6008647019301944","0"
"110","5","KEGG Pathways","","Microbial metabolism in diverse environments","2.45E-5","ppsA|pdhA|pdhB|sucD|nifJ","163300","2302|1501|2794|5902|4537","2.0E-6","","syp01120","0.6008647019301944","0"
"58","5","STRING Clusters","","Carbon metabolism, and Aldehyde dehydrogenase family","6.12E-5","ppsA|pdhA|pdhB|sucD|nifJ","163300","2302|1501|2794|5902|4537","9.46E-8","","CL:3314","0.5490530340521749","0"
"20","4","STRING Clusters","","Citrate cycle (TCA cycle), and FAD/NAD(P)-binding domain","6.12E-5","pdhA|pdhB|sucD|nifJ","163300","1501|2794|5902|4537","1.37E-7","","CL:3379","0.5490530340521749","0"
"550","7","KEGG Pathways","","Metabolic pathways","1.2E-4","ppsA|pdhA|pdhB|sucD|nifJ|ilvB|ilvB-2","163300","2302|1501|2794|5902|4537|4558|3796","1.11E-5","","syp01100","0.5109447954581599","0"
"4","3","InterPro Domains","","Thiamine pyrophosphate enzyme, TPP-binding","1.9E-4","nifJ|ilvB|ilvB-2","163300","4537|4558|3796","3.23E-7","","IPR011766","0.4849373560800066","0"
"5","3","GO Molecular Function","","Thiamine pyrophosphate binding","3.1E-4","nifJ|ilvB|ilvB-2","163300","4537|4558|3796","5.17E-7","","GO:0030976","0.457231153537348","0"
"14","3","GO Molecular Function","","Oxidoreductase activity, acting on the aldehyde or oxo group of donors","0.0012","pdhA|pdhB|nifJ","163300","1501|2794|4537","6.21E-6","","GO:0016903","0.3806289539153436","0"
"2","2","GO Molecular Function","","Pyruvate dehydrogenase (acetyl-transferring) activity","0.0038","pdhA|pdhB","163300","1501|2794","3.14E-5","","GO:0004739","0.31539253732260836","0"
"2","2","GO Cellular Component","","Acetolactate synthase complex","0.0045","ilvB|ilvB-2","163300","4558|3796","3.14E-5","","GO:0005948","0.3058235861895163","0"
"13","2","KEGG Pathways","","Valine, leucine and isoleucine biosynthesis","0.0053","ilvB|ilvB-2","163300","4558|3796","5.4E-4","","syp00290","0.2965629051722668","0"
"14","2","KEGG Pathways","","Pantothenate and CoA biosynthesis","0.0055","ilvB|ilvB-2","163300","4558|3796","6.2E-4","","syp00770","0.29446653770010356","0"
"2","2","Pfam","","Thiamine pyrophosphate enzyme, central domain","0.0066","ilvB|ilvB-2","163300","4558|3796","3.14E-5","","PF00205","0.2841479669869985","0"
"3","2","Pfam","","Thiamine pyrophosphate enzyme, N-terminal TPP binding domain","0.0073","ilvB|ilvB-2","163300","4558|3796","5.23E-5","","PF02776","0.2784428795887004","0"
"5","2","STRING Clusters","","Valine metabolic process","0.0101","ilvB|ilvB-2","163300","4558|3796","1.1E-4","","CL:3211","0.2600685396245263","0"
"5","2","STRING Clusters","","acetyl-CoA biosynthetic process from pyruvate, and Lysine degradation","0.0101","pdhA|pdhB","163300","1501|2794","1.1E-4","","CL:3408","0.2600685396245263","0"
"21","2","KEGG Pathways","","2-Oxocarboxylic acid metabolism","0.0105","ilvB|ilvB-2","163300","4558|3796","0.0013","","syp01210","0.25787038174563104","0"
"2","2","InterPro Domains","","Thiamine pyrophosphate enzyme, central domain","0.0124","ilvB|ilvB-2","163300","4558|3796","3.14E-5","","IPR012000","0.24845735756536771","0"
"3","2","InterPro Domains","","Thiamine pyrophosphate enzyme, N-terminal TPP-binding domain","0.0124","ilvB|ilvB-2","163300","4558|3796","5.23E-5","","IPR012001","0.24845735756536771","0"
"3","2","InterPro Domains","","DHS-like NAD/FAD-binding domain superfamily","0.0124","ilvB|ilvB-2","163300","4558|3796","5.23E-5","","IPR029035","0.24845735756536771","0"
"2","2","InterPro Domains","","Thiamine pyrophosphate enzyme","0.0124","ilvB|ilvB-2","163300","4558|3796","3.14E-5","","IPR045229","0.24845735756536771","0"
"4","2","InterPro Domains","","Transketolase C-terminal/Pyruvate-ferredoxin oxidoreductase domain II","0.0133","pdhB|nifJ","163300","2794|4537","7.83E-5","","IPR009014","0.2444918522665479","0"
"3","2","COMPARTMENTS","","Acetolactate synthase complex","0.0137","ilvB|ilvB-2","163300","4558|3796","5.23E-5","","GOCC:0005948","0.24281482732043416","0"
