"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"17","8","STRING Clusters","","Mixed, incl. Carbohydrate transport, and Glycerophospholipid metabolism","6.91E-15","ACA98148.1|ACA98507.1|lacG|ACB00023.1|ACB00024.1|ACB00025.1|ACB00026.1|ACB00531.1","253919","4567|3979|1210|430|433|421|424|808","1.07E-17","","CL:4638","1.4160521952625802","0"
"69","8","KEGG Pathways","","ABC transporters","2.01E-11","ACA98148.1|ACA98507.1|lacG|ACB00023.1|ACB00024.1|ACB00025.1|ACB00026.1|ACB00531.1","253919","4567|3979|1210|430|433|421|424|808","2.08E-13","","syp02010","1.0696803942579511","0"
"19","6","COMPARTMENTS","","ATP-binding cassette (ABC) transporter complex","1.81E-9","ACA98148.1|lacG|ACB00023.1|ACB00024.1|ACB00026.1|ACB00531.1","253919","4567|1210|430|433|424|808","6.89E-12","","GOCC:0043190","0.8742321425130817","0"
"5","5","STRING Clusters","","TOBE domain, and ABC-type maltose transporter activity","3.01E-9","ACB00023.1|ACB00024.1|ACB00025.1|ACB00026.1|ACB00531.1","253919","430|433|421|424|808","9.3E-12","","CL:4657","0.8521433504406156","0"
"4","4","COMPARTMENTS","","ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing","9.57E-8","lacG|ACB00023.1|ACB00026.1|ACB00531.1","253919","1210|430|424|808","1.83E-9","","GOCC:0055052","0.7019088062223157","0"
"309","8","GO Biological Process","","Transport","2.54E-5","ACA98148.1|ACA98507.1|lacG|ACB00023.1|ACB00024.1|ACB00025.1|ACB00026.1|ACB00531.1","253919","4567|3979|1210|430|433|421|424|808","2.28E-8","","GO:0006810","0.45951662833800616","0"
"134","6","UniProt Keywords","","Transport","7.27E-5","ACA98148.1|lacG|ACB00023.1|ACB00024.1|ACB00026.1|ACB00531.1","253919","4567|1210|430|433|424|808","3.4E-7","","KW-0813","0.41384655891409616","0"
"19","4","Pfam","","Binding-protein-dependent transport system inner membrane component","1.1E-4","ACA98148.1|lacG|ACB00023.1|ACB00024.1","253919","4567|1210|430|433","2.27E-7","","PF00528","0.3958607314841775","0"
"21","4","GO Molecular Function","","ABC-type transporter activity","1.9E-4","ACA98148.1|ACB00024.1|ACB00026.1|ACB00531.1","253919","4567|433|424|808","3.24E-7","","GO:0140359","0.3721246399047171","0"
"19","4","InterPro Domains","","ABC transporter type 1, transmembrane domain MetI-like","2.7E-4","ACA98148.1|lacG|ACB00023.1|ACB00024.1","253919","4567|1210|430|433","2.27E-7","","IPR000515","0.3568636235841013","0"
"19","4","InterPro Domains","","MetI-like superfamily","2.7E-4","ACA98148.1|lacG|ACB00023.1|ACB00024.1","253919","4567|1210|430|433","2.27E-7","","IPR035906","0.3568636235841013","0"
"9","3","GO Biological Process","","Carbohydrate transport","9.0E-4","ACB00025.1|ACB00026.1|ACB00531.1","253919","421|424|808","3.22E-6","","GO:0008643","0.30457574905606755","0"
"235","6","GO Biological Process","","Transmembrane transport","0.0019","ACA98148.1|lacG|ACB00023.1|ACB00024.1|ACB00026.1|ACB00531.1","253919","4567|1210|430|433|424|808","8.68E-6","","GO:0055085","0.27212463990471714","0"
"457","7","GO Cellular Component","","Plasma membrane","0.003","ACA98148.1|lacG|ACB00023.1|ACB00024.1|ACB00025.1|ACB00026.1|ACB00531.1","253919","4567|1210|430|433|421|424|808","2.1E-5","","GO:0005886","0.25228787452803375","0"
"2","2","GO Cellular Component","","ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing","0.003","ACB00026.1|ACB00531.1","253919","424|808","4.18E-5","","GO:0055052","0.25228787452803375","0"
"2","2","GO Molecular Function","","ABC-type maltose transporter activity","0.0063","ACA98148.1|ACB00024.1","253919","4567|433","4.18E-5","","GO:0015423","0.22006594505464183","0"
"94","4","UniProt Keywords","","Cell membrane","0.0091","ACA98148.1|lacG|ACB00023.1|ACB00024.1","253919","4567|1210|430|433","8.5E-5","","KW-1003","0.2040958607678906","0"
"2","2","Pfam","","TOBE domain","0.0101","ACB00026.1|ACB00531.1","253919","424|808","4.18E-5","","PF08402","0.19956786262173573","0"
"2","2","Pfam","","Bacterial extracellular solute-binding protein","0.0101","ACA98507.1|ACB00025.1","253919","3979|421","4.18E-5","","PF13416","0.19956786262173573","0"
"2","2","InterPro Domains","","ABC transporter, maltose/maltodextrin import, MalK-like","0.0165","ACB00026.1|ACB00531.1","253919","424|808","4.18E-5","","IPR015855","0.17825160557860936","0"
"4","2","InterPro Domains","","Bacterial extracellular solute-binding protein","0.0309","ACA98507.1|ACB00025.1","253919","3979|421","1.0E-4","","IPR006059","0.15100415205751655","0"
"4","2","InterPro Domains","","Molybdate/tungstate binding, C-terminal","0.0309","ACB00026.1|ACB00531.1","253919","424|808","1.0E-4","","IPR008995","0.15100415205751655","0"
