"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"170","99","STRING Clusters","","Translation, and RNA processing","2.73E-46","efp|ACA98089.1|rbfA|prfB|sodB|lrtA|fusA|rpsF|rplU|deaD|thrS|atpG|atpA|atpH|atpF|atpG-2|atpE|atpB|atpD|atpC|rimP|nusA|ACA98759.1|infB|frr|rpsA|rmpH|rplL|rpl10|rplA|rplK|nusG|rplS|prfA|rpmE|rpsI|rplM|truA|rplQ|rpoA|rpsK|rpsM|infA|secY|rplO|rpsE|rplR|rpl6|rpsH|rpl5|rplX|rplN|rpsQ|rpmC|rplP|rpsC|rplV|rpsS|rplB|rplW|rplD|rplC|ppib|ACA99107.1|trmE|ACA99172.1|ppa|rimM|tig|map|rplI|obg|ffh|rpsU|ybeY|tsf|rpsB|ACA99966.1|ACA99988.1|rpoC2|rpoC1|rpoB|rpsJ|tuf|fusA-2|rpsG|rpsL|fus|rpsD|rplT|rpmI|ACB00272.1|map-2|def|lepA|rnc-2|infC|ftsY|ACB00805.1","163300","5629|5536|5545|4078|2332|2179|1540|6232|5377|1846|1762|466|463|472|469|457|454|460|424|421|1462|1474|1471|1447|3514|3508|3370|4114|4123|4105|4111|4093|4063|4060|4036|4045|4033|4003|4015|3988|4000|3973|3982|3970|2074|2080|2071|2053|2062|2041|2050|2035|2038|2023|2032|2020|2008|2014|1996|2005|1987|1993|2092|2221|637|634|826|727|1090|1078|4216|3223|1360|5881|6313|1771|1780|2818|2485|532|535|523|715|709|712|703|706|682|676|5167|5170|3529|4228|4180|2338|958|4429|3838|2743","4.22E-49","","CL:2398","4.556383735295925","0"
"156","96","STRING Clusters","","Translation, and Ribosome biogenesis","2.73E-46","efp|ACA98089.1|rbfA|prfB|sodB|lrtA|fusA|rpsF|rplU|deaD|thrS|atpG|atpA|atpH|atpF|atpG-2|atpE|atpB|atpD|atpC|rimP|nusA|ACA98759.1|infB|frr|rpsA|rmpH|rplL|rpl10|rplA|rplK|nusG|rplS|prfA|rpmE|rpsI|rplM|rplQ|rpoA|rpsK|rpsM|infA|secY|rplO|rpsE|rplR|rpl6|rpsH|rpl5|rplX|rplN|rpsQ|rpmC|rplP|rpsC|rplV|rpsS|rplB|rplW|rplD|rplC|ppib|ACA99107.1|ACA99172.1|ppa|rimM|tig|map|rplI|obg|ffh|rpsU|ybeY|tsf|rpsB|ACA99966.1|ACA99988.1|rpoC2|rpoC1|rpoB|rpsJ|tuf|fusA-2|rpsG|rpsL|fus|rpsD|rplT|rpmI|ACB00272.1|def|lepA|rnc-2|infC|ftsY|ACB00805.1","163300","5629|5536|5545|4078|2332|2179|1540|6232|5377|1846|1762|466|463|472|469|457|454|460|424|421|1462|1474|1471|1447|3514|3508|3370|4114|4123|4105|4111|4093|4063|4060|4036|4045|4033|4015|3988|4000|3973|3982|3970|2074|2080|2071|2053|2062|2041|2050|2035|2038|2023|2032|2020|2008|2014|1996|2005|1987|1993|2092|2221|634|826|727|1090|1078|4216|3223|1360|5881|6313|1771|1780|2818|2485|532|535|523|715|709|712|703|706|682|676|5167|5170|3529|4180|2338|958|4429|3838|2743","5.46E-49","","CL:2400","4.556383735295925","0"
"118","84","STRING Clusters","","Translation, and Ribonucleoside triphosphate biosynthetic process","2.03E-43","efp|rbfA|prfB|lrtA|fusA|rpsF|rplU|thrS|atpG|atpA|atpH|atpF|atpG-2|atpE|atpB|atpD|atpC|rimP|nusA|ACA98759.1|infB|frr|rpsA|rmpH|rplL|rpl10|rplA|rplK|nusG|rplS|prfA|rpmE|rpsI|rplM|rplQ|rpoA|rpsK|rpsM|infA|secY|rplO|rpsE|rplR|rpl6|rpsH|rpl5|rplX|rplN|rpsQ|rpmC|rplP|rpsC|rplV|rpsS|rplB|rplW|rplD|rplC|ppa|rimM|tig|rplI|obg|ffh|rpsU|tsf|rpsB|rpoC2|rpoC1|rpoB|rpsJ|tuf|fusA-2|rpsG|rpsL|fus|rpsD|rplT|rpmI|def|lepA|rnc-2|infC|ftsY","163300","5629|5545|4078|2179|1540|6232|5377|1762|466|463|472|469|457|454|460|424|421|1462|1474|1471|1447|3514|3508|3370|4114|4123|4105|4111|4093|4063|4060|4036|4045|4033|4015|3988|4000|3973|3982|3970|2074|2080|2071|2053|2062|2041|2050|2035|2038|2023|2032|2020|2008|2014|1996|2005|1987|1993|826|727|1090|4216|3223|1360|5881|1771|1780|532|535|523|715|709|712|703|706|682|676|5167|5170|4180|2338|958|4429|3838","9.43E-46","","CL:2403","4.269250396208679","0"
"103","80","STRING Clusters","","Ribonucleoprotein, and Regulation of translation","3.55E-43","efp|prfB|lrtA|fusA|rpsF|rplU|thrS|atpG|atpA|atpH|atpF|atpG-2|atpE|atpB|atpD|atpC|nusA|infB|frr|rpsA|rmpH|rplL|rpl10|rplA|rplK|nusG|rplS|rpmE|rpsI|rplM|rplQ|rpoA|rpsK|rpsM|infA|secY|rplO|rpsE|rplR|rpl6|rpsH|rpl5|rplX|rplN|rpsQ|rpmC|rplP|rpsC|rplV|rpsS|rplB|rplW|rplD|rplC|ppa|rimM|tig|rplI|obg|ffh|rpsU|tsf|rpsB|rpoC2|rpoC1|rpoB|rpsJ|tuf|fusA-2|rpsG|rpsL|fus|rpsD|rplT|rpmI|def|lepA|rnc-2|infC|ftsY","163300","5629|4078|2179|1540|6232|5377|1762|466|463|472|469|457|454|460|424|421|1474|1447|3514|3508|3370|4114|4123|4105|4111|4093|4063|4036|4045|4033|4015|3988|4000|3973|3982|3970|2074|2080|2071|2053|2062|2041|2050|2035|2038|2023|2032|2020|2008|2014|1996|2005|1987|1993|826|727|1090|4216|3223|1360|5881|1771|1780|532|535|523|715|709|712|703|706|682|676|5167|5170|4180|2338|958|4429|3838","2.19E-45","","CL:2406","4.2449771646944905","0"
"94","77","STRING Clusters","","Ribosome, and Regulation of translation","1.35E-42","efp|prfB|lrtA|fusA|rpsF|rplU|thrS|atpG|atpA|atpH|atpF|atpG-2|atpE|atpB|atpD|atpC|nusA|infB|frr|rpsA|rmpH|rplL|rpl10|rplA|rplK|nusG|rplS|rpmE|rpsI|rplM|rplQ|rpoA|rpsK|rpsM|infA|rplO|rpsE|rplR|rpl6|rpsH|rpl5|rplX|rplN|rpsQ|rpmC|rplP|rpsC|rplV|rpsS|rplB|rplW|rplD|rplC|ppa|rimM|tig|rplI|obg|rpsU|tsf|rpsB|rpoC2|rpoC1|rpoB|rpsJ|tuf|fusA-2|rpsG|rpsL|fus|rpsD|rplT|rpmI|def|lepA|rnc-2|infC","163300","5629|4078|2179|1540|6232|5377|1762|466|463|472|469|457|454|460|424|421|1474|1447|3514|3508|3370|4114|4123|4105|4111|4093|4063|4036|4045|4033|4015|3988|4000|3973|3982|2074|2080|2071|2053|2062|2041|2050|2035|2038|2023|2032|2020|2008|2014|1996|2005|1987|1993|826|727|1090|4216|3223|5881|1771|1780|532|535|523|715|709|712|703|706|682|676|5167|5170|4180|2338|958|4429","1.04E-44","","CL:2407","4.186966623150499","0"
"111","81","STRING Clusters","","Mixed, incl. Ribonucleoprotein, and Regulation of translation","1.67E-42","efp|prfB|lrtA|fusA|rpsF|rplU|thrS|atpG|atpA|atpH|atpF|atpG-2|atpE|atpB|atpD|atpC|nusA|infB|frr|rpsA|rmpH|rplL|rpl10|rplA|rplK|nusG|rplS|prfA|rpmE|rpsI|rplM|rplQ|rpoA|rpsK|rpsM|infA|secY|rplO|rpsE|rplR|rpl6|rpsH|rpl5|rplX|rplN|rpsQ|rpmC|rplP|rpsC|rplV|rpsS|rplB|rplW|rplD|rplC|ppa|rimM|tig|rplI|obg|ffh|rpsU|tsf|rpsB|rpoC2|rpoC1|rpoB|rpsJ|tuf|fusA-2|rpsG|rpsL|fus|rpsD|rplT|rpmI|def|lepA|rnc-2|infC|ftsY","163300","5629|4078|2179|1540|6232|5377|1762|466|463|472|469|457|454|460|424|421|1474|1447|3514|3508|3370|4114|4123|4105|4111|4093|4063|4060|4036|4045|4033|4015|3988|4000|3973|3982|3970|2074|2080|2071|2053|2062|2041|2050|2035|2038|2023|2032|2020|2008|2014|1996|2005|1987|1993|826|727|1090|4216|3223|1360|5881|1771|1780|532|535|523|715|709|712|703|706|682|676|5167|5170|4180|2338|958|4429|3838","1.55E-44","","CL:2404","4.177728352885241","0"
"84","67","STRING Clusters","","Ribosome, and Regulation of translation","4.45E-36","efp|prfB|lrtA|fusA|rpsF|rplU|thrS|nusA|infB|frr|rpsA|rmpH|rplL|rpl10|rplA|rplK|nusG|rplS|rpmE|rpsI|rplM|rplQ|rpoA|rpsK|rpsM|infA|rplO|rpsE|rplR|rpl6|rpsH|rpl5|rplX|rplN|rpsQ|rpmC|rplP|rpsC|rplV|rpsS|rplB|rplW|rplD|rplC|rimM|tig|rplI|obg|rpsU|tsf|rpsB|rpoC2|rpoC1|rpoB|rpsJ|tuf|fusA-2|rpsG|rpsL|fus|rpsD|rplT|rpmI|def|lepA|rnc-2|infC","163300","5629|4078|2179|1540|6232|5377|1762|1474|1447|3514|3508|3370|4114|4123|4105|4111|4093|4063|4036|4045|4033|4015|3988|4000|3973|3982|2074|2080|2071|2053|2062|2041|2050|2035|2038|2023|2032|2020|2008|2014|1996|2005|1987|1993|727|1090|4216|3223|5881|1771|1780|532|535|523|715|709|712|703|706|682|676|5167|5170|4180|2338|958|4429","5.5E-38","","CL:2408","3.535163998901907","0"
"77","62","STRING Clusters","","Ribosome, and Regulation of translation","2.62E-33","efp|lrtA|fusA|rpsF|rplU|nusA|infB|rpsA|rmpH|rplL|rpl10|rplA|rplK|nusG|rplS|rpmE|rpsI|rplM|rplQ|rpoA|rpsK|rpsM|infA|rplO|rpsE|rplR|rpl6|rpsH|rpl5|rplX|rplN|rpsQ|rpmC|rplP|rpsC|rplV|rpsS|rplB|rplW|rplD|rplC|rimM|tig|rplI|rpsU|tsf|rpsB|rpoC2|rpoC1|rpoB|rpsJ|tuf|fusA-2|rpsG|rpsL|fus|rpsD|rplT|rpmI|def|lepA|infC","163300","5629|2179|1540|6232|5377|1474|1447|3508|3370|4114|4123|4105|4111|4093|4063|4036|4045|4033|4015|3988|4000|3973|3982|2074|2080|2071|2053|2062|2041|2050|2035|2038|2023|2032|2020|2008|2014|1996|2005|1987|1993|727|1090|4216|5881|1771|1780|532|535|523|715|709|712|703|706|682|676|5167|5170|4180|2338|4429","3.65E-35","","CL:2410","3.258169870868026","0"
"69","57","STRING Clusters","","Ribosome, and Translation regulator activity","8.18E-31","efp|fusA|rpsF|rplU|nusA|infB|rpsA|rmpH|rplL|rpl10|rplA|rplK|nusG|rplS|rpmE|rpsI|rplM|rplQ|rpoA|rpsK|rpsM|infA|rplO|rpsE|rplR|rpl6|rpsH|rpl5|rplX|rplN|rpsQ|rpmC|rplP|rpsC|rplV|rpsS|rplB|rplW|rplD|rplC|rplI|rpsU|tsf|rpsB|rpoC2|rpoC1|rpoB|rpsJ|tuf|fusA-2|rpsG|rpsL|fus|rpsD|rplT|rpmI|infC","163300","5629|1540|6232|5377|1474|1447|3508|3370|4114|4123|4105|4111|4093|4063|4036|4045|4033|4015|3988|4000|3973|3982|2074|2080|2071|2053|2062|2041|2050|2035|2038|2023|2032|2020|2008|2014|1996|2005|1987|1993|4216|5881|1771|1780|532|535|523|715|709|712|703|706|682|676|5167|5170|4429","1.26E-32","","CL:2414","3.0087246696328678","0"
"62","51","STRING Clusters","","Ribosome","2.89E-27","efp|fusA|rpsF|rplU|infB|rpsA|rmpH|rplL|rpl10|rplA|rplK|rplS|rpmE|rpsI|rplM|rplQ|rpsK|rpsM|infA|rplO|rpsE|rplR|rpl6|rpsH|rpl5|rplX|rplN|rpsQ|rpmC|rplP|rpsC|rplV|rpsS|rplB|rplW|rplD|rplC|rplI|rpsU|tsf|rpsB|rpsJ|tuf|fusA-2|rpsG|rpsL|fus|rpsD|rplT|rpmI|infC","163300","5629|1540|6232|5377|1447|3508|3370|4114|4123|4105|4111|4063|4036|4045|4033|4015|4000|3973|3982|2074|2080|2071|2053|2062|2041|2050|2035|2038|2023|2032|2020|2008|2014|1996|2005|1987|1993|4216|5881|1771|1780|715|709|712|703|706|682|676|5167|5170|4429","4.91E-29","","CL:2415","2.6539102157243453","0"
