"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"5","5","STRING Clusters","","Tetrahydrofolate biosynthetic process","1.09E-10","folK|folB|folP-2|folE|folK-2","163300","1300|1294|5116|2182|817","1.68E-13","","CL:3105","1.0","0"
"13","5","GO Biological Process","","Folic acid-containing compound metabolic process","3.23E-9","folK|folB|folP-2|folE|folK-2","163300","1300|1294|5116|2182|817","5.7E-12","","GO:0006760","0.8522694940131437","0"
"11","5","GO Biological Process","","Pteridine-containing compound biosynthetic process","3.23E-9","folK|folB|folP-2|folE|folK-2","163300","1300|1294|5116|2182|817","2.91E-12","","GO:0042559","0.8522694940131437","0"
"20","5","KEGG Pathways","","Folate biosynthesis","3.43E-9","folK|folB|folP-2|folE|folK-2","163300","1300|1294|5116|2182|817","3.54E-11","","syp00790","0.8496505323857816","0"
"5","4","GO Biological Process","","Tetrahydrofolate biosynthetic process","5.26E-8","folK|folP-2|folE|folK-2","163300","1300|5116|2182|817","2.37E-10","","GO:0046654","0.7306359400351331","0"
"4","3","GO Biological Process","","Folic acid biosynthetic process","1.15E-5","folK|folP-2|folK-2","163300","1300|5116|817","9.28E-8","","GO:0046656","0.495785768468898","0"
"2","2","UniProt Keywords","","Folate biosynthesis","0.0032","folB|folP-2","163300","1294|5116","1.5E-5","","KW-0289","0.25042224493143067","0"
"416","5","GO Biological Process","","Small molecule metabolic process","0.0036","folK|folB|folP-2|folE|folK-2","163300","1300|1294|5116|2182|817","7.16E-5","","GO:0044281","0.24528777616823333","0"
"2","2","COMPARTMENTS","","Mitochondrial respiratory chain complex I","0.0039","folK|folK-2","163300","1300|817","1.5E-5","","GOCC:0005747","0.24179850642763606","0"
"185","4","GO Biological Process","","Small molecule biosynthetic process","0.0044","folK|folB|folP-2|folK-2","163300","1300|1294|5116|817","9.17E-5","","GO:0044283","0.23654001880404574","0"
"2","2","Pfam","","7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)","0.0063","folK|folK-2","163300","1300|817","1.5E-5","","PF01288","0.2208926689566222","0"
"2","2","GO Molecular Function","","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity","0.009","folK|folK-2","163300","1300|817","1.5E-5","","GO:0003848","0.20534428078626413","0"
"668","5","COMPARTMENTS","","Cytoplasm","0.0141","folK|folB|folP-2|folE|folK-2","163300","1300|1294|5116|2182|817","7.5E-4","","GOCC:0005737","0.18577337341220548","0"
"2","2","InterPro Domains","","7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK","0.0178","folK|folK-2","163300","1300|817","1.5E-5","","IPR000550","0.17561526620902201","0"
"2","2","InterPro Domains","","7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase HPPK superfamily","0.0178","folK|folK-2","163300","1300|817","1.5E-5","","IPR035907","0.17561526620902201","0"
"3","2","InterPro Domains","","GTP cyclohydrolase I, C-terminal/NADPH-dependent 7-cyano-7-deazaguanine reductase","0.0178","folB|folE","163300","1294|2182","2.5E-5","","IPR043133","0.17561526620902201","0"
"31","2","COMPARTMENTS","","Transmembrane transporter complex","0.0199","folK|folK-2","163300","1300|817","0.0013","","GOCC:1902495","0.17075376389831876","0"
