"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"12","5","STRING Clusters","","Chorismate metabolic process, and Aromatic amino acid family biosynthetic process, prephenate pathway","2.67E-9","aroA|aroB|aroF|aroC|aroK","253919","4972|2896|4006|6193|1678","4.12E-12","","CL:3244","1.0","0"
"19","5","KEGG Pathways","","Phenylalanine, tyrosine and tryptophan biosynthesis","2.74E-9","aroA|aroB|aroF|aroC|aroK","253919","4972|2896|4006|6193|1678","2.83E-11","","syp00400","0.9986890632508603","0"
"16","5","GO Biological Process","","Aromatic amino acid family biosynthetic process","1.51E-8","aroA|aroB|aroF|aroC|aroK","253919","4972|2896|4006|6193|1678","1.35E-11","","GO:0009073","0.9122334315857097","0"
"5","4","STRING Clusters","","Chorismate biosynthetic process","5.1E-8","aroA|aroB|aroC|aroK","253919","4972|2896|6193|1678","2.37E-10","","CL:3247","0.8505790403665641","0"
"6","4","GO Biological Process","","Chorismate biosynthetic process","1.46E-7","aroA|aroB|aroC|aroK","253919","4972|2896|6193|1678","3.94E-10","","GO:0009423","0.7973005333769809","0"
"14","4","UniProt Keywords","","Aromatic amino acid biosynthesis","1.23E-6","aroA|aroB|aroC|aroK","253919","4972|2896|6193|1678","5.73E-9","","KW-0057","0.6893453842106831","0"
"90","5","KEGG Pathways","","Biosynthesis of amino acids","1.87E-6","aroA|aroB|aroF|aroC|aroK","253919","4972|2896|4006|6193|1678","3.86E-8","","syp01230","0.6681245602680068","0"
"263","5","KEGG Pathways","","Biosynthesis of secondary metabolites","2.4E-4","aroA|aroB|aroF|aroC|aroK","253919","4972|2896|4006|6193|1678","7.39E-6","","syp01110","0.4222072097647063","0"
"91","4","GO Biological Process","","Cellular amino acid biosynthetic process","4.3E-4","aroA|aroB|aroC|aroK","253919","4972|2896|6193|1678","5.83E-6","","GO:0008652","0.3926676347342165","0"
"550","5","KEGG Pathways","","Metabolic pathways","0.007","aroA|aroB|aroF|aroC|aroK","253919","4972|2896|4006|6193|1678","2.9E-4","","syp01100","0.2513448172241633","0"
"5","2","GO Molecular Function","","Carbon-oxygen lyase activity, acting on phosphates","0.0314","aroB|aroC","253919","2896|6193","5.23E-5","","GO:0016838","0.17531607000932706","0"
