"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"71","7","STRING Clusters","","Amino-acid biosynthesis, and Aminotransferase","4.66E-8","aspC|ACA98828.1|ACA99092.1|argJ|aspA|argC|argG","253919","5416|5863|2347|3001|400|1216|1951","7.2E-11","","CL:3170","1.0","0"
"36","6","STRING Clusters","","2-Oxocarboxylic acid metabolism, and Lysine biosynthesis","6.54E-8","ACA98828.1|ACA99092.1|argJ|aspA|argC|argG","253919","5863|2347|3001|400|1216|1951","2.02E-10","","CL:3171","0.9799236798388855","0"
"22","5","KEGG Pathways","","Alanine, aspartate and glutamate metabolism","2.85E-7","aspC|ACA98828.1|ACA99092.1|aspA|argG","253919","5416|5863|2347|400|1951","2.94E-9","","syp00250","0.892730450023435","0"
"15","4","KEGG Pathways","","Arginine biosynthesis","4.84E-6","aspC|argJ|argC|argG","253919","5416|3001|1216|1951","9.99E-8","","syp00220","0.7249637771381384","0"
"6","3","STRING Clusters","","Arginine biosynthesis","2.0E-4","argJ|argC|argG","253919","3001|1216|1951","1.24E-6","","CL:3189","0.5045232826365633","0"
"8","3","UniProt Keywords","","Arginine biosynthesis","5.2E-4","argJ|argC|argG","253919","3001|1216|1951","2.42E-6","","KW-0055","0.44792273830138324","0"
"263","6","KEGG Pathways","","Biosynthesis of secondary metabolites","5.4E-4","aspC|ACA98828.1|ACA99092.1|argJ|argC|argG","253919","5416|5863|2347|3001|1216|1951","1.66E-5","","syp01110","0.44568715743175163","0"
"21","3","KEGG Pathways","","2-Oxocarboxylic acid metabolism","7.1E-4","aspC|argJ|argC","253919","5416|3001|1216","2.92E-5","","syp01210","0.429474548919433","0"
"550","7","KEGG Pathways","","Metabolic pathways","0.0014","aspC|ACA98828.1|ACA99092.1|argJ|aspA|argC|argG","253919","5416|5863|2347|3001|400|1216|1951","7.35E-5","","syp01100","0.3892556170978009","0"
"90","4","KEGG Pathways","","Biosynthesis of amino acids","0.0014","aspC|argJ|argC|argG","253919","5416|3001|1216|1951","7.21E-5","","syp01230","0.3892556170978009","0"
"5","2","KEGG Pathways","","Cyanoamino acid metabolism","0.002","ACA98828.1|ACA99092.1","253919","5863|2347","1.5E-4","","syp00460","0.36812766925090473","0"
"10","3","GO Biological Process","","Arginine biosynthetic process","0.0047","argJ|argC|argG","253919","3001|1216|1951","4.18E-6","","GO:0006526","0.31751564056864623","0"
"100","4","GO Biological Process","","Alpha-amino acid metabolic process","0.0239","argJ|aspA|argC|argG","253919","3001|400|1216|1951","1.1E-4","","GO:1901605","0.22117941296765015","0"
