"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"8","7","STRING Clusters","","Sulfur metabolism","1.45E-14","ACA98051.1|sbpA|cysT|cysW|sat|cysC|apa2","163300","5200|1708|1726|1720|5350|4237|856","2.25E-17","","CL:3597","1.3838631997765025","0"
"15","7","KEGG Pathways","","Sulfur metabolism","5.78E-14","ACA98051.1|sbpA|cysT|cysW|sat|cysC|apa2","163300","5200|1708|1726|1720|5350|4237|856","5.96E-16","","syp00920","1.323807216157947","0"
"8","3","GO Biological Process","","Sulfate transmembrane transport","0.0017","sbpA|cysT|cysW","163300","1708|1726|1720","1.52E-6","","GO:1902358","0.2769551078621726","0"
"110","4","KEGG Pathways","","Microbial metabolism in diverse environments","0.0039","ACA98051.1|sat|cysC|apa2","163300","5200|5350|4237|856","7.97E-5","","syp01120","0.24089353929735008","0"
"42","3","KEGG Pathways","","Purine metabolism","0.0041","sat|cysC|apa2","163300","5350|4237|856","1.3E-4","","syp00230","0.23872161432802647","0"
"3","2","GO Biological Process","","Hydrogen sulfide biosynthetic process","0.0083","sat|cysC","163300","5350|4237","5.23E-5","","GO:0070814","0.20809219076239263","0"
"4","2","GO Biological Process","","Sulfate assimilation","0.0087","sat|cysC","163300","5350|4237","7.83E-5","","GO:0000103","0.20604807473813813","0"
"69","3","KEGG Pathways","","ABC transporters","0.0125","sbpA|cysT|cysW","163300","1708|1726|1720","5.1E-4","","syp02010","0.19030899869919435","0"
"3","2","GO Molecular Function","","ABC-type sulfate transporter activity","0.0313","cysT|cysW","163300","1726|1720","5.23E-5","","GO:0015419","0.15044556624535516","0"
"2","2","InterPro Domains","","Sulphate ABC transporter permease protein 2","0.0372","cysT|cysW","163300","1726|1720","3.14E-5","","IPR005667","0.14294570601181025","0"
"8","2","GO Molecular Function","","Adenylyltransferase activity","0.0374","sat|apa2","163300","5350|856","2.3E-4","","GO:0070566","0.14271283977995197","0"
