"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"23","12","GO Biological Process","","Cell wall macromolecule biosynthetic process","2.17E-20","murC|murE|mviN|ACA98643.1|murD|mraY|ACA99598.1|rodA|ACB00308.1|tagO|murG|murF","163300","4606|3910|3841|2869|4990|1438|1426|5140|3700|2278|1210|5203","1.95E-23","","GO:0044038","1.9663540266151471","0"
"22","11","GO Biological Process","","Peptidoglycan biosynthetic process","1.18E-18","murC|murE|mviN|ACA98643.1|murD|mraY|ACA99598.1|rodA|ACB00308.1|murG|murF","163300","4606|3910|3841|2869|4990|1438|1426|5140|3700|1210|5203","6.35E-21","","GO:0009252","1.7928117992693875","0"
"29","11","GO Biological Process","","Cell wall organization","8.39E-18","murC|murE|mviN|ACA98643.1|murD|mraY|rodA|ACB00308.1|tagO|murG|murF","163300","4606|3910|3841|2869|4990|1438|5140|3700|2278|1210|5203","7.54E-20","","GO:0071555","1.70762380391713","0"
"20","10","STRING Clusters","","Cell shape, and Penicillin-binding Protein dimerisation domain","5.97E-16","murC|murE|mviN|ACA98643.1|murD|mraY|ACA99598.1|rodA|murG|murF","163300","4606|3910|3841|2869|4990|1438|1426|5140|1210|5203","9.23E-19","","CL:3666","1.522402566887063","0"
"27","10","GO Biological Process","","Regulation of cell shape","7.88E-16","murC|murE|mviN|ACA98643.1|murD|mraY|rodA|ACB00308.1|murG|murF","163300","4606|3910|3841|2869|4990|1438|5140|3700|1210|5203","1.06E-17","","GO:0008360","1.5103473782510446","0"
"15","9","UniProt Keywords","","Cell shape","6.08E-15","murC|murE|mviN|ACA98643.1|murD|mraY|rodA|murG|murF","163300","4606|3910|3841|2869|4990|1438|5140|1210|5203","2.84E-17","","KW-0133","1.4216096420727264","0"
"15","9","UniProt Keywords","","Peptidoglycan synthesis","6.08E-15","murC|murE|mviN|ACA98643.1|murD|mraY|rodA|murG|murF","163300","4606|3910|3841|2869|4990|1438|5140|1210|5203","2.84E-17","","KW-0573","1.4216096420727264","0"
"19","9","UniProt Keywords","","Cell wall biogenesis/degradation","1.06E-14","murC|murE|mviN|ACA98643.1|murD|mraY|rodA|murG|murF","163300","4606|3910|3841|2869|4990|1438|5140|1210|5203","1.49E-16","","KW-0961","1.397469413473523","0"
"63","11","STRING Clusters","","Mixed, incl. Regulation of cell shape, and Penicillin binding","1.99E-14","murC|murE|mviN|mrcA|ACA98643.1|murD|mraY|ACA99598.1|rodA|murG|murF","163300","4606|3910|3841|868|2869|4990|1438|1426|5140|1210|5203","1.33E-16","","CL:3659","1.3701146923590293","0"
"22","9","KEGG Pathways","","Peptidoglycan biosynthesis","4.21E-14","murC|murE|ACA98643.1|murD|mraY|ACA99598.1|ACB00308.1|murG|murF","163300","4606|3910|2869|4990|1438|1426|3700|1210|5203","4.34E-16","","syp00550","1.3375717904164333","0"
"124","12","STRING Clusters","","Mixed, incl. Cell wall organization or biogenesis, and Localization","1.06E-13","murC|murE|mviN|mrcA|ACA98643.1|murD|mraY|ACA99598.1|rodA|tagO|murG|murF","163300","4606|3910|3841|868|2869|4990|1438|1426|5140|2278|1210|5203","1.15E-15","","CL:3658","1.297469413473523","0"
"131","12","GO Biological Process","","Carbohydrate derivative biosynthetic process","1.19E-13","murC|murE|mviN|ACA98643.1|murD|mraY|ACA99598.1|rodA|ACB00308.1|tagO|murG|murF","163300","4606|3910|3841|2869|4990|1438|1426|5140|3700|2278|1210|5203","2.14E-15","","GO:1901137","1.2924453038607469","0"
"12","6","STRING Clusters","","Cell shape, and POTRA domain","2.8E-9","murC|murE|murD|mraY|murG|murF","163300","4606|3910|4990|1438|1210|5203","4.32E-11","","CL:3669","0.8552841968657781","0"
"33","7","GO Biological Process","","Cell division","4.26E-9","murC|murE|murD|mraY|rodA|murG|murF","163300","4606|3910|4990|1438|5140|1210|5203","1.04E-10","","GO:0051301","0.8370590400897282","0"
