"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"8","8","STRING Clusters","","Prosthetic group metabolic process","1.33E-14","ACA98295.1|ACA98373.1|moaB|moeA|moaA|moaE|moaC|ACB00569.1","253919","2974|895|5689|1429|6328|946|4162|1174","2.06E-17","","CL:3575","1.3876148359032914","0"
"8","8","GO Biological Process","","Mo-molybdopterin cofactor biosynthetic process","2.29E-14","ACA98295.1|moaB|moeA|moaA|moaE|moaC|ACB00569.1|mobA","253919","2974|5689|1429|6328|946|4162|1174|3760","2.06E-17","","GO:0006777","1.3640164517660112","0"
"25","9","STRING Clusters","","Mixed, incl. Prosthetic group metabolic process, and Thiamine diphosphate metabolic process","2.86E-14","ACA98295.1|ACA98373.1|moaB|moeA|moaA|moaE|moaC|ACB00569.1|mobA","253919","2974|895|5689|1429|6328|946|4162|1174|3760","8.85E-17","","CL:3545","1.3543633966870956","0"
"12","7","KEGG Pathways","","Sulfur relay system","5.5E-12","ACA98295.1|ACA98373.1|moaB|moaA|moaE|moaC|ACB00569.1","253919","2974|895|5689|6328|946|4162|1174","5.67E-14","","syp04122","1.1259637310505757","0"
"20","6","KEGG Pathways","","Folate biosynthesis","6.99E-9","moaB|moeA|moaA|moaE|moaC|mobA","253919","5689|1429|6328|946|4162|3760","1.44E-10","","syp00790","0.815552282425432","0"
"5","5","UniProt Keywords","","Molybdenum cofactor biosynthesis","1.63E-8","moaB|moeA|moaA|moaC|mobA","253919","5689|1429|6328|4162|3760","7.6E-11","","KW-0501","0.7787812395596042","0"
"498","9","GO Biological Process","","Heterocycle metabolic process","6.4E-4","ACA98295.1|moaB|ACA98697.1|moeA|moaA|moaE|moaC|ACB00569.1|mobA","253919","2974|5689|3583|1429|6328|946|4162|1174|3760","6.89E-6","","GO:0046483","0.3193820026016113","0"
"509","9","GO Biological Process","","Organic cyclic compound metabolic process","7.1E-4","ACA98295.1|moaB|ACA98697.1|moeA|moaA|moaE|moaC|ACB00569.1|mobA","253919","2974|5689|3583|1429|6328|946|4162|1174|3760","8.31E-6","","GO:1901360","0.31487416512809246","0"
"612","9","GO Biological Process","","Macromolecule metabolic process","0.0029","ACA98295.1|moaB|ACA98697.1|moeA|moaA|moaE|moaC|ACB00569.1|mobA","253919","2974|5689|3583|1429|6328|946|4162|1174|3760","3.97E-5","","GO:0043170","0.25376020021010437","0"
"217","6","GO Cellular Component","","Cytosol","0.0105","ACA98295.1|ACA98373.1|moaB|moeA|moaE|ACB00569.1","253919","2974|895|5689|1429|946|1174","7.34E-5","","GO:0005829","0.1978810700930062","0"
"972","10","GO Biological Process","","Primary metabolic process","0.0127","ACA98295.1|ACA98373.1|moaB|ACA98697.1|moeA|moaA|moaE|moaC|ACB00569.1|mobA","253919","2974|895|5689|3583|1429|6328|946|4162|1174|3760","1.8E-4","","GO:0044238","0.18961962790440431","0"
"3","2","SMART Domains","","Probable molybdopterin binding domain","0.0144","moaB|moeA","253919","5689|1429","1.4E-4","","SM00852","0.18416375079047503","0"
