"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"16","10","STRING Clusters","","Aminoacyl-tRNA synthetase","4.15E-18","pheT|pheS|valS|tyrS|proS|leuS|ileS|hisS|glyS|metG","163300","6217|5386|928|1432|1657|979|5785|3580|2647|4411","6.41E-21","","CL:2639","1.7381951903287907","0"
"21","10","UniProt Keywords","","Aminoacyl-tRNA synthetase","1.14E-17","pheT|pheS|valS|tyrS|proS|leuS|ileS|hisS|glyS|metG","163300","6217|5386|928|1432|1657|979|5785|3580|2647|4411","5.35E-20","","KW-0030","1.6943095148663527","0"
"25","10","KEGG Pathways","","Aminoacyl-tRNA biosynthesis","2.14E-17","pheT|pheS|valS|tyrS|proS|leuS|ileS|hisS|glyS|metG","163300","6217|5386|928|1432|1657|979|5785|3580|2647|4411","2.21E-19","","syp00970","1.666958622665081","0"
"23","10","GO Molecular Function","","aminoacyl-tRNA ligase activity","6.68E-17","pheT|pheS|valS|tyrS|proS|leuS|ileS|hisS|glyS|metG","163300","6217|5386|928|1432|1657|979|5785|3580|2647|4411","1.11E-19","","GO:0004812","1.6175223537524457","0"
"53","11","GO Molecular Function","","Catalytic activity, acting on a tRNA","6.68E-17","pheT|pheS|valS|tyrS|proS|leuS|ileS|dtd3|hisS|glyS|metG","163300","6217|5386|928|1432|1657|979|5785|517|3580|2647|4411","3.2E-19","","GO:0140101","1.6175223537524457","0"
"22","10","GO Biological Process","","tRNA aminoacylation for protein translation","8.64E-17","pheT|pheS|valS|tyrS|proS|leuS|ileS|hisS|glyS|metG","163300","6217|5386|928|1432|1657|979|5785|3580|2647|4411","7.77E-20","","GO:0006418","1.6063486257521107","0"
"63","11","GO Biological Process","","tRNA metabolic process","4.99E-16","pheT|pheS|valS|tyrS|proS|leuS|ileS|dtd3|hisS|glyS|metG","163300","6217|5386|928|1432|1657|979|5785|517|3580|2647|4411","1.8E-18","","GO:0006399","1.530189945437661","0"
"43","10","UniProt Keywords","","Protein biosynthesis","2.5E-15","pheT|pheS|valS|tyrS|proS|leuS|ileS|hisS|glyS|metG","163300","6217|5386|928|1432|1657|979|5785|3580|2647|4411","2.33E-17","","KW-0648","1.4602059991327963","0"
"139","11","GO Biological Process","","Cellular amino acid metabolic process","1.19E-12","pheT|pheS|valS|tyrS|proS|leuS|ileS|dtd3|hisS|glyS|metG","163300","6217|5386|928|1432|1657|979|5785|517|3580|2647|4411","6.4E-15","","GO:0006520","1.192445303860747","0"
"10","7","STRING Clusters","","Aminoacyl-tRNA synthetase","7.09E-12","pheT|pheS|tyrS|proS|leuS|ileS|metG","163300","6217|5386|1432|1657|979|5785|4411","2.19E-14","","CL:2640","1.1149353764816934","0"
"296","11","GO Biological Process","","Cellular macromolecule metabolic process","1.27E-9","pheT|pheS|valS|tyrS|proS|leuS|ileS|dtd3|hisS|glyS|metG","163300","6217|5386|928|1432|1657|979|5785|517|3580|2647|4411","2.05E-11","","GO:0044260","0.8896196279044043","0"
"213","10","UniProt Keywords","","ATP-binding","4.13E-9","pheT|pheS|valS|tyrS|proS|leuS|ileS|hisS|glyS|metG","163300","6217|5386|928|1432|1657|979|5785|3580|2647|4411","7.72E-11","","KW-0067","0.8384049948343598","0"
"229","10","UniProt Keywords","","Cytoplasm","6.66E-9","pheT|pheS|valS|tyrS|proS|leuS|ileS|hisS|glyS|metG","163300","6217|5386|928|1432|1657|979|5785|3580|2647|4411","1.56E-10","","KW-0963","0.8176525770829699","0"
"6","5","GO Molecular Function","","aminoacyl-tRNA editing activity","1.19E-8","valS|proS|leuS|ileS|dtd3","163300","928|1657|979|5785|517","1.39E-10","","GO:0002161","0.7924453038607469","0"
"298","10","GO Molecular Function","","ATP binding","1.5E-7","pheT|pheS|valS|tyrS|proS|leuS|ileS|hisS|glyS|metG","163300","6217|5386|928|1432|1657|979|5785|3580|2647|4411","2.0E-9","","GO:0005524","0.6823908740944319","0"
"5","4","STRING Clusters","","Aminoacyl-tRNA synthetase, class Ia, anticodon-binding","1.66E-6","proS|leuS|ileS|metG","163300","1657|979|5785|4411","1.54E-8","","CL:2642","0.5779891911959945","0"
"697","11","GO Molecular Function","","Ion binding","6.36E-6","pheT|pheS|valS|tyrS|proS|leuS|ileS|dtd3|hisS|glyS|metG","163300","6217|5386|928|1432|1657|979|5785|517|3580|2647|4411","2.23E-7","","GO:0043167","0.5196542884351586","0"
"6","4","InterPro Domains","","Aminoacyl-tRNA synthetase, class Ia, anticodon-binding","3.03E-5","valS|leuS|ileS|metG","163300","928|979|5785|4411","2.55E-8","","IPR009080","0.4518557371497695","0"
"30","5","InterPro Domains","","Rossmann-like alpha/beta/alpha sandwich fold","5.55E-5","valS|tyrS|leuS|ileS|metG","163300","928|1432|979|5785|4411","9.37E-8","","IPR014729","0.42557070168773237","0"
"15","4","InterPro Domains","","Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL)","1.8E-4","pheT|pheS|proS|hisS","163300","6217|5386|1657|3580","4.63E-7","","IPR045864","0.3744727494896694","0"
"3","3","InterPro Domains","","Aminoacyl-tRNA synthetase, class Ia","2.6E-4","valS|leuS|ileS","163300","928|979|5785","8.65E-7","","IPR002300","0.3585026652029182","0"
"3","3","InterPro Domains","","Valyl/Leucyl/Isoleucyl-tRNA synthetase, editing domain","2.6E-4","valS|leuS|ileS","163300","928|979|5785","8.65E-7","","IPR009008","0.3585026652029182","0"
