"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"20","9","STRING Clusters","","Mixed, incl. Antiporter activity, and Proton-conducting membrane transporter","2.03E-16","napA|mnhC|mnhD1|mnhD2|ACB00354.1|ACB00355.1|ACB00356.1|hcp4|mnhB","163300","4012|3991|3997|3976|3979|3964|3967|2077|2065","3.14E-19","","CL:1266","1.5692503962086788","0"
"10","8","STRING Clusters","","Mixed, incl. Antiporter activity, and Regulation of nitrogen utilization","1.25E-15","mnhC|mnhD1|mnhD2|ACB00354.1|ACB00355.1|ACB00356.1|hcp4|mnhB","163300","3991|3997|3976|3979|3964|3967|2077|2065","3.86E-18","","CL:1268","1.4903089986991944","0"
"5","5","STRING Clusters","","Antiporter activity, and Proton-conducting membrane transporter","2.7E-9","mnhC|mnhD2|ACB00354.1|ACB00356.1|mnhB","163300","3991|3976|3979|3967|2065","2.09E-11","","CL:1272","0.8568636235841012","0"
"11","4","GO Molecular Function","","Antiporter activity","3.79E-5","napA|mnhC|ACB00356.1|mnhB","163300","4012|3991|3967|2065","6.33E-8","","GO:0015297","0.4421360790031928","0"
"602","9","UniProt Keywords","","Transmembrane helix","2.1E-4","napA|mnhC|mnhD1|mnhD2|ACB00354.1|ACB00355.1|ACB00356.1|hcp4|mnhB","163300","4012|3991|3997|3976|3979|3964|3967|2077|2065","9.67E-7","","KW-1133","0.3677780705266081","0"
"689","9","GO Cellular Component","","Integral component of membrane","4.6E-4","napA|mnhC|mnhD1|mnhD2|ACB00354.1|ACB00355.1|ACB00356.1|hcp4|mnhB","163300","4012|3991|3997|3976|3979|3964|3967|2077|2065","3.23E-6","","GO:0016021","0.3337242168318426","0"
"235","7","GO Biological Process","","Transmembrane transport","0.0011","napA|mnhC|mnhD1|mnhD2|ACB00354.1|ACB00356.1|mnhB","163300","4012|3991|3997|3976|3979|3967|2065","9.5E-7","","GO:0055085","0.2958607314841775","0"
"105","5","GO Biological Process","","Ion transport","0.0033","napA|mnhC|ACB00354.1|ACB00356.1|mnhB","163300","4012|3991|3979|3967|2065","8.99E-6","","GO:0006811","0.24814860601221125","0"
"201","5","GO Molecular Function","","Transmembrane transporter activity","0.0288","napA|mnhC|ACB00354.1|ACB00356.1|mnhB","163300","4012|3991|3979|3967|2065","1.9E-4","","GO:0022857","0.15406075122407692","0"
"8","2","GO Molecular Function","","Solute:proton antiporter activity","0.0398","napA|ACB00356.1","163300","4012|3967","4.0E-4","","GO:0015299","0.1400116927926312","0"
