"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"5","4","STRING Clusters","","Response to oxidative stress","1.53E-7","msrB|ACA98973.1|glbN|katG","253919","3070|4036|1423|2650","2.37E-10","","CL:4328","1.0","0"
"11","4","GO Biological Process","","Response to oxidative stress","2.84E-6","msrB|ACA98973.1|glbN|katG","253919","3070|4036|1423|2650","2.56E-9","","GO:0006979","0.8138562771807659","0"
"11","3","GO Molecular Function","","Peroxidase activity","5.8E-4","ACA98973.1|glbN|katG","253919","4036|1423|2650","9.61E-7","","GO:0004601","0.47489735403504085","0"
"4","2","UniProt Keywords","","Peroxidase","0.008","ACA98973.1|katG","253919","4036|2650","3.74E-5","","KW-0575","0.3076764597996202","0"
"39","2","Reactome Pathways","","Latent infection - Other responses of Mtb to phagocytosis","0.0319","glbN|katG","253919","1423|2650","0.002","","MAP-1222499","0.21953654801609543","0"
"60","2","Reactome Pathways","","Disease","0.0319","glbN|katG","253919","1423|2650","0.0045","","MAP-1643685","0.21953654801609543","0"
"57","2","Reactome Pathways","","Infectious disease","0.0319","glbN|katG","253919","1423|2650","0.0041","","MAP-5663205","0.21953654801609543","0"
"56","2","Reactome Pathways","","Infection with Mycobacterium tuberculosis","0.0319","glbN|katG","253919","1423|2650","0.004","","MAP-9635486","0.21953654801609543","0"
"20","2","UniProt Keywords","","Heme","0.049","glbN|katG","253919","1423|2650","5.7E-4","","KW-0349","0.1921855638193968","0"
"101","3","UniProt Keywords","","Oxidoreductase","0.049","msrB|ACA98973.1|katG","253919","3070|4036|2650","4.6E-4","","KW-0560","0.1921855638193968","0"
