"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"25","8","STRING Clusters","","Glycolysis / Gluconeogenesis, and Pentose-phosphate shunt","8.87E-14","pfkA|ACA98460.1|deoC|pgi|ACA99298.1|zwf|tal|talC","163300","4249|6205|1441|3451|6166|3877|3850|847","1.37E-16","","CL:3316","1.3052076380168274","0"
"17","7","KEGG Pathways","","Pentose phosphate pathway","9.31E-13","pfkA|deoC|pgi|ACA99298.1|zwf|tal|talC","163300","4249|1441|3451|6166|3877|3850|847","9.6E-15","","syp00030","1.2031050319018657","0"
"19","6","STRING Clusters","","Glycolysis / Gluconeogenesis, and Transaldolase activity","7.26E-10","pfkA|deoC|pgi|ACA99298.1|tal|talC","163300","4249|1441|3451|6166|3850|847","6.89E-12","","CL:3318","0.9139063379299905","0"
"115","8","GO Biological Process","","Carbohydrate metabolic process","1.13E-8","pfkA|ACA98460.1|deoC|pgi|ACA99298.1|zwf|tal|talC","163300","4249|6205|1441|3451|6166|3877|3850|847","1.02E-11","","GO:0005975","0.794692155651658","0"
"13","5","STRING Clusters","","Glycolytic process, and Transaldolase activity","2.54E-8","pfkA|pgi|ACA99298.1|tal|talC","163300","4249|3451|6166|3850|847","3.14E-10","","CL:3320","0.7595166283380062","0"
"110","7","KEGG Pathways","","Microbial metabolism in diverse environments","6.48E-8","pfkA|ACA98460.1|pgi|ACA99298.1|zwf|tal|talC","163300","4249|6205|3451|6166|3877|3850|847","1.34E-9","","syp01120","0.7188424994129406","0"
"67","6","KEGG Pathways","","Carbon metabolism","2.08E-7","pfkA|pgi|ACA99298.1|zwf|tal|talC","163300","4249|3451|6166|3877|3850|847","6.43E-9","","syp01200","0.6681936665037238","0"
"24","4","KEGG Pathways","","Glycolysis / Gluconeogenesis","1.19E-5","pfkA|ACA98460.1|pgi|ACA99298.1","163300","4249|6205|3451|6166","5.22E-7","","syp00010","0.4924453038607469","0"
"263","7","KEGG Pathways","","Biosynthesis of secondary metabolites","1.19E-5","pfkA|ACA98460.1|pgi|ACA99298.1|zwf|tal|talC","163300","4249|6205|3451|6166|3877|3850|847","4.91E-7","","syp01110","0.4924453038607469","0"
"550","8","KEGG Pathways","","Metabolic pathways","3.54E-5","pfkA|ACA98460.1|deoC|pgi|ACA99298.1|zwf|tal|talC","163300","4249|6205|1441|3451|6166|3877|3850|847","2.19E-6","","syp01100","0.4450996737974212","0"
