"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"33","11","STRING Clusters","","Mixed, incl. Amino sugar and nucleotide sugar metabolism, and Glycosyl transferases group 1","2.52E-17","ACA98265.1|ACA98266.1|ACA98413.1|ACA98414.1|ACA99491.1|ACA99492.1|ACA99511.1|ACA99962.1|ACB00411.1|ACB00412.1|ACB00427.1","163300","2275|2239|5929|5920|2797|2773|2662|2842|2266|2248|2134","3.9E-20","","CL:4082","1.6598599459218455","0"
"16","9","STRING Clusters","","Mixed, incl. Fructose and mannose metabolism, and Bacterial sugar transferase","2.09E-15","ACA98265.1|ACA98266.1|ACA98413.1|ACA98414.1|ACA99491.1|ACA99492.1|ACA99962.1|ACB00411.1|ACB00427.1","163300","2275|2239|5929|5920|2797|2773|2842|2266|2134","1.38E-17","","CL:4086","1.4679853713888946","0"
"5","5","STRING Clusters","","Bacterial sugar transferase, and SLBB domain","9.34E-9","ACA98265.1|ACA98266.1|ACA99491.1|ACA99492.1|ACB00411.1","163300","2275|2239|2797|2773|2266","1.3E-10","","CL:4090","0.8029653123769906","0"
"24","5","GO Biological Process","","Polysaccharide biosynthetic process","6.54E-5","ACA98266.1|ACA98414.1|ACA99491.1|ACA99962.1|ACB00411.1","163300","2239|5920|2797|2842|2266","5.89E-8","","GO:0000271","0.41844222516757323","0"
"588","10","GO Biological Process","","Biosynthetic process","0.002","ACA98265.1|ACA98266.1|ACA98413.1|ACA98414.1|ACA99491.1|ACA99511.1|ACA99962.1|ACB00411.1|ACB00412.1|ACB00427.1","163300","2275|2239|5929|5920|2797|2662|2842|2266|2248|2134","7.13E-6","","GO:0009058","0.2698970004336019","0"
"342","8","UniProt Keywords","","Transferase","0.0034","ACA98265.1|ACA98266.1|ACA98413.1|ACA98414.1|ACA99511.1|ACB00411.1|ACB00412.1|ACB00427.1","163300","2275|2239|5929|5920|2662|2266|2248|2134","1.58E-5","","KW-0808","0.2468521082957745","0"
"467","9","GO Molecular Function","","Transferase activity","0.0081","ACA98265.1|ACA98266.1|ACA98413.1|ACA98414.1|ACA99491.1|ACA99511.1|ACB00411.1|ACB00412.1|ACB00427.1","163300","2275|2239|5929|5920|2797|2662|2266|2248|2134","1.35E-5","","GO:0016740","0.20915149811213504","0"
"196","6","GO Biological Process","","Macromolecule biosynthetic process","0.0149","ACA98266.1|ACA98414.1|ACA99491.1|ACA99962.1|ACB00411.1|ACB00427.1","163300","2239|5920|2797|2842|2266|2134","7.82E-5","","GO:0009059","0.1826813731587726","0"
"566","9","GO Biological Process","","Organic substance biosynthetic process","0.0149","ACA98266.1|ACA98413.1|ACA98414.1|ACA99491.1|ACA99511.1|ACA99962.1|ACB00411.1|ACB00412.1|ACB00427.1","163300","2239|5929|5920|2797|2662|2842|2266|2248|2134","6.7E-5","","GO:1901576","0.1826813731587726","0"
"2","2","Pfam","","Bacterial sugar transferase","0.0412","ACA98266.1|ACB00411.1","163300","2239|2266","9.81E-5","","PF02397","0.13851027839668656","0"
