"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"19","5","COMPARTMENTS","","ATP-binding cassette (ABC) transporter complex","7.41E-9","ACA98148.1|lacG|ACB00023.1|ACB00026.1|ACB00531.1","163300","3847|1192|571|565|871","2.83E-11","","GOCC:0043190","1.0","0"
"17","5","STRING Clusters","","Mixed, incl. Carbohydrate transport, and Glycerophospholipid metabolism","1.13E-8","ACA98148.1|lacG|ACB00023.1|ACB00026.1|ACB00531.1","163300","3847|1192|571|565|871","1.75E-11","","CL:4638","0.9774592696458582","0"
"4","4","COMPARTMENTS","","ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing","1.15E-8","lacG|ACB00023.1|ACB00026.1|ACB00531.1","163300","1192|571|565|871","1.31E-10","","GOCC:0055052","0.9765220954146904","0"
"69","5","KEGG Pathways","","ABC transporters","1.04E-6","ACA98148.1|lacG|ACB00023.1|ACB00026.1|ACB00531.1","163300","3847|1192|571|565|871","1.07E-8","","syp02010","0.7358958032861176","0"
"5","3","STRING Clusters","","TOBE domain, and ABC-type maltose transporter activity","4.8E-5","ACB00023.1|ACB00026.1|ACB00531.1","163300","571|565|871","1.48E-7","","CL:4657","0.531200761939055","0"
"134","5","UniProt Keywords","","Transport","5.73E-5","ACA98148.1|lacG|ACB00023.1|ACB00026.1|ACB00531.1","163300","3847|1192|571|565|871","2.68E-7","","KW-0813","0.5217405325666579","0"
"19","3","Pfam","","Binding-protein-dependent transport system inner membrane component","0.0017","ACA98148.1|lacG|ACB00023.1","163300","3847|1192|571","4.05E-6","","PF00528","0.34065057208682453","0"
"2","2","GO Cellular Component","","ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing","0.0021","ACB00026.1|ACB00531.1","163300","565|871","1.5E-5","","GO:0055052","0.3293629556837433","0"
"2","2","Pfam","","TOBE domain","0.0031","ACB00026.1|ACB00531.1","163300","565|871","1.5E-5","","PF08402","0.3085586977437354","0"
"21","3","GO Molecular Function","","ABC-type transporter activity","0.0032","ACA98148.1|ACB00026.1|ACB00531.1","163300","3847|565|871","5.32E-6","","GO:0140359","0.3068627597145064","0"
"235","5","GO Biological Process","","Transmembrane transport","0.0047","ACA98148.1|lacG|ACB00023.1|ACB00026.1|ACB00531.1","163300","3847|1192|571|565|871","4.24E-6","","GO:0055085","0.2863284243347413","0"
"19","3","InterPro Domains","","ABC transporter type 1, transmembrane domain MetI-like","0.0048","ACA98148.1|lacG|ACB00023.1","163300","3847|1192|571","4.05E-6","","IPR000515","0.2852038025644331","0"
"19","3","InterPro Domains","","MetI-like superfamily","0.0048","ACA98148.1|lacG|ACB00023.1","163300","3847|1192|571","4.05E-6","","IPR035906","0.2852038025644331","0"
"2","2","InterPro Domains","","ABC transporter, maltose/maltodextrin import, MalK-like","0.0059","ACB00026.1|ACB00531.1","163300","565|871","1.5E-5","","IPR015855","0.2741818135660438","0"
"457","5","GO Cellular Component","","Plasma membrane","0.0082","ACA98148.1|lacG|ACB00023.1|ACB00026.1|ACB00531.1","163300","3847|1192|571|565|871","1.1E-4","","GO:0005886","0.2565977245015309","0"
"4","2","InterPro Domains","","Molybdate/tungstate binding, C-terminal","0.0111","ACB00026.1|ACB00531.1","163300","565|871","3.74E-5","","IPR008995","0.2404223018889628","0"
"689","5","GO Cellular Component","","Integral component of membrane","0.021","ACA98148.1|lacG|ACB00023.1|ACB00026.1|ACB00531.1","163300","3847|1192|571|565|871","8.8E-4","","GO:0016021","0.2063644759964323","0"
"9","2","GO Biological Process","","Carbohydrate transport","0.0304","ACB00026.1|ACB00531.1","163300","565|871","1.4E-4","","GO:0008643","0.1866042427095816","0"
"94","3","UniProt Keywords","","Cell membrane","0.0398","ACA98148.1|lacG|ACB00023.1","163300","3847|1192|571","3.7E-4","","KW-1003","0.17221225351940472","0"
