"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"29","11","STRING Clusters","","DNA damage, and Mismatch repair","6.43E-19","mutT|recA|mutT-2|ruvC|recJ|uvrA|recJ-2|mutM|uvrB|mutY|phr","163300","5596|5767|1837|2908|3397|3778|5935|3445|5524|4774|3829","9.93E-22","","CL:2846","1.8191789027075778","0"
"15","9","STRING Clusters","","DNA damage, and RecJ, OB domain","3.59E-16","mutT|mutT-2|ruvC|recJ|uvrA|recJ-2|uvrB|mutY|phr","163300","5596|1837|2908|3397|3778|5935|5524|4774|3829","2.22E-18","","CL:2847","1.544490555142168","0"
"39","9","GO Biological Process","","DNA repair","3.12E-12","mutT|recA|ruvC|recJ|uvrA|recJ-2|mutM|uvrB|mutY","163300","5596|5767|2908|3397|3778|5935|3445|5524|4774","2.8E-15","","GO:0006281","1.1505845405981556","0"
"80","10","GO Biological Process","","Response to stress","3.76E-12","mutT|recA|ruvC|recJ|uvrA|recJ-2|mutM|uvrB|mutY|phr","163300","5596|5767|2908|3397|3778|5935|3445|5524|4774|3829","6.76E-15","","GO:0006950","1.142481215507234","0"
"148","10","GO Biological Process","","Cellular response to stimulus","5.14E-10","mutT|recA|ruvC|recJ|uvrA|recJ-2|mutM|uvrB|mutY|phr","163300","5596|5767|2908|3397|3778|5935|3445|5524|4774|3829","2.31E-12","","GO:0051716","0.9289036881004724","0"
"5","5","STRING Clusters","","NUDIX domain, and RecJ, OB domain","9.84E-9","mutT|mutT-2|recJ|recJ-2|mutY","163300","5596|1837|3397|5935|4774","7.6E-11","","CL:2866","0.8007004901568658","0"
"386","11","GO Biological Process","","Nucleobase-containing compound metabolic process","5.02E-8","mutT|recA|mutT-2|ruvC|recJ|uvrA|recJ-2|mutM|uvrB|mutY|phr","163300","5596|5767|1837|2908|3397|3778|5935|3445|5524|4774|3829","3.61E-10","","GO:0006139","0.729929628285498","0"
"23","6","UniProt Keywords","","DNA damage","6.34E-8","recA|ruvC|uvrA|mutM|uvrB|mutY","163300","5767|2908|3778|3445|5524|4774","2.96E-10","","KW-0227","0.7197910742118268","0"
"54","7","GO Molecular Function","","Catalytic activity, acting on DNA","2.79E-7","recA|ruvC|uvrA|mutM|uvrB|mutY|phr","163300","5767|2908|3778|3445|5524|4774|3829","4.65E-10","","GO:0140097","0.6554395796726402","0"
"22","5","UniProt Keywords","","DNA repair","2.53E-6","recA|ruvC|uvrA|mutM|uvrB","163300","5767|2908|3778|3445|5524","2.36E-8","","KW-0234","0.5596879478824183","0"
