"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"6","6","UniProt Keywords","","Tryptophan biosynthesis","7.76E-12","trpB|trpA|trpE|trpC|trpD|trpF","163300","2521|4783|3154|5320|5248|3211","3.62E-14","","KW-0822","1.111013827874181","0"
"21","7","STRING Clusters","","Phenylalanine, tyrosine and tryptophan biosynthesis","2.12E-11","trpB|trpA|trpE|trpC|ACA99608.1|trpD|trpF","163300","2521|4783|3154|5320|1384|5248|3211","3.28E-14","","CL:3243","1.0673664139071248","0"
"6","6","STRING Clusters","","Tryptophan biosynthesis","2.12E-11","trpB|trpA|trpE|trpC|trpD|trpF","163300","2521|4783|3154|5320|5248|3211","3.62E-14","","CL:3269","1.0673664139071248","0"
"6","6","GO Biological Process","","Tryptophan biosynthetic process","4.03E-11","trpB|trpA|trpC|ACA99608.1|trpD|trpF","163300","2521|4783|5320|1384|5248|3211","3.62E-14","","GO:0000162","1.039469495385889","0"
"19","6","KEGG Pathways","","Phenylalanine, tyrosine and tryptophan biosynthesis","6.69E-10","trpB|trpA|trpE|trpC|trpD|trpF","163300","2521|4783|3154|5320|5248|3211","6.89E-12","","syp00400","0.9174573882232178","0"
"90","6","KEGG Pathways","","Biosynthesis of amino acids","1.67E-6","trpB|trpA|trpE|trpC|trpD|trpF","163300","2521|4783|3154|5320|5248|3211","3.45E-8","","syp01230","0.5777283528852417","0"
"263","6","KEGG Pathways","","Biosynthesis of secondary metabolites","5.4E-4","trpB|trpA|trpE|trpC|trpD|trpF","163300","2521|4783|3154|5320|5248|3211","1.66E-5","","syp01110","0.3267606240177031","0"
"75","4","UniProt Keywords","","Lyase","0.0019","trpB|trpA|trpE|trpC","163300","2521|4783|3154|5320","3.61E-5","","KW-0456","0.27212463990471714","0"
"556","7","GO Biological Process","","Cellular biosynthetic process","0.0031","trpB|trpA|trpE|trpC|ACA99608.1|trpD|trpF","163300","2521|4783|3154|5320|1384|5248|3211","7.91E-5","","GO:0044249","0.25086383061657275","0"
"11","3","InterPro Domains","","Ribulose-phosphate binding barrel","0.0063","trpA|trpC|trpF","163300","4783|5320|3211","5.32E-6","","IPR011060","0.22006594505464183","0"
"2","2","Pfam","","Glycosyl transferase family, a/b domain","0.0176","ACA99608.1|trpD","163300","1384|5248","4.18E-5","","PF00591","0.175448733218585","0"
"2","2","Pfam","","Glycosyl transferase family, helical bundle domain","0.0176","ACA99608.1|trpD","163300","1384|5248","4.18E-5","","PF02885","0.175448733218585","0"
"2","2","InterPro Domains","","Glycosyl transferase, family 3","0.0248","ACA99608.1|trpD","163300","1384|5248","4.18E-5","","IPR000312","0.16055483191737838","0"
"2","2","InterPro Domains","","Anthranilate phosphoribosyl transferase","0.0248","ACA99608.1|trpD","163300","1384|5248","4.18E-5","","IPR005940","0.16055483191737838","0"
"2","2","InterPro Domains","","Glycosyl transferase family 3, N-terminal domain","0.0248","ACA99608.1|trpD","163300","1384|5248","4.18E-5","","IPR017459","0.16055483191737838","0"
"2","2","InterPro Domains","","Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain superfamily","0.0248","ACA99608.1|trpD","163300","1384|5248","4.18E-5","","IPR035902","0.16055483191737838","0"
"2","2","InterPro Domains","","Glycosyl transferase family 3, N-terminal domain superfamily","0.0248","ACA99608.1|trpD","163300","1384|5248","4.18E-5","","IPR036320","0.16055483191737838","0"
"2","2","GO Molecular Function","","Anthranilate phosphoribosyltransferase activity","0.0251","ACA99608.1|trpD","163300","1384|5248","4.18E-5","","GO:0004048","0.16003262785189618","0"
"2","2","GO Molecular Function","","Tryptophan synthase activity","0.0251","trpB|trpA","163300","2521|4783","4.18E-5","","GO:0004834","0.16003262785189618","0"
"550","6","KEGG Pathways","","Metabolic pathways","0.0265","trpB|trpA|trpE|trpC|trpD|trpF","163300","2521|4783|3154|5320|5248|3211","0.0011","","syp01100","0.1576754126063192","0"
"106","4","GO Molecular Function","","Lyase activity","0.0268","trpB|trpA|trpE|trpC","163300","2521|4783|3154|5320","1.3E-4","","GO:0016829","0.15718652059712113","0"
"19","2","KEGG Pathways","","Glycine, serine and threonine metabolism","0.0277","trpB|trpA","163300","2521|4783","0.0014","","syp00260","0.15575202309355513","0"
