"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"6","3","STRING Clusters","","Nicotinate and nicotinamide metabolism","1.4E-4","ppnK|nadE|ppnK-2","253919","3529|7537|7570","2.22E-7","","CL:3156","1.0","0"
"16","3","KEGG Pathways","","Nicotinate and nicotinamide metabolism","2.5E-4","ppnK|nadE|ppnK-2","253919","3529|7537|7570","2.55E-6","","syp00760","0.9346600054892806","0"
"10","3","GO Biological Process","","Nicotinamide nucleotide biosynthetic process","8.4E-4","ppnK|nadE|ppnK-2","253919","3529|7537|7570","7.55E-7","","GO:0019359","0.7980858581739133","0"
"2","2","GO Biological Process","","NADP biosynthetic process","0.0024","ppnK|ppnK-2","253919","3529|7570","1.5E-5","","GO:0006741","0.679780953426004","0"
"3","2","GO Biological Process","","NAD metabolic process","0.0035","ppnK|ppnK-2","253919","3529|7570","2.5E-5","","GO:0019674","0.6372635049597297","0"
"2","2","Pfam","","ATP-NAD kinase N-terminal domain","0.0072","ppnK|ppnK-2","253919","3529|7570","1.5E-5","","PF01513","0.5559778641856923","0"
"45","3","UniProt Keywords","","NAD","0.0096","ppnK|nadE|ppnK-2","253919","3529|7537|7570","4.48E-5","","KW-0520","0.523558848254454","0"
"3","2","GO Molecular Function","","NAD+ kinase activity","0.015","ppnK|ppnK-2","253919","3529|7570","2.5E-5","","GO:0003951","0.4732665635572837","0"
"2","2","InterPro Domains","","NAD kinase","0.0178","ppnK|ppnK-2","253919","3529|7570","1.5E-5","","IPR002504","0.4539797932801881","0"
"3","2","InterPro Domains","","NAD kinase/diacylglycerol kinase-like domain superfamily","0.0178","ppnK|ppnK-2","253919","3529|7570","2.5E-5","","IPR016064","0.4539797932801881","0"
"2","2","InterPro Domains","","ATP-NAD kinase, PpnK-type, C-terminal","0.0178","ppnK|ppnK-2","253919","3529|7570","1.5E-5","","IPR017437","0.4539797932801881","0"
"3","2","InterPro Domains","","Inorganic polyphosphate/ATP-NAD kinase, N-terminal","0.0178","ppnK|ppnK-2","253919","3529|7570","2.5E-5","","IPR017438","0.4539797932801881","0"
