"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"24","15","STRING Clusters","","Porphyrin-containing compound biosynthetic process","2.77E-24","por|chlG|chlD|ACA98649.1|acsF|chlM|chlH|chlH-2|hemC|chlB|acsF-2|hemL|chlI|chlN|chlL","163300","3088|4321|4546|2845|406|3658|3688|4186|1417|1675|2719|5239|5509|4210|4195","4.29E-27","","CL:2142","2.3557520230935554","0"
"40","16","GO Biological Process","","Tetrapyrrole biosynthetic process","8.36E-24","por|chlG|chlD|ACA98649.1|acsF|chlM|chlH|chlH-2|hemC|chlB|acsF-2|hemL|chlI|chlN|chlL|ACB00827.1","163300","3088|4321|4546|2845|406|3658|3688|4186|1417|1675|2719|5239|5509|4210|4195|3190","7.52E-27","","GO:0033014","2.3077793722560984","0"
"28","15","GO Biological Process","","Porphyrin-containing compound biosynthetic process","1.43E-23","por|chlG|chlD|ACA98649.1|acsF|chlM|chlH-2|hemC|chlB|acsF-2|hemL|chlI|chlN|chlL|ACB00827.1","163300","3088|4321|4546|2845|406|3658|4186|1417|1675|2719|5239|5509|4210|4195|3190","2.57E-26","","GO:0006779","2.2844663962534937","0"
"18","14","GO Biological Process","","Chlorophyll biosynthetic process","1.82E-23","por|chlG|chlD|acsF|chlM|chlH-2|hemC|chlB|acsF-2|hemL|chlI|chlN|chlL|ACB00827.1","163300","3088|4321|4546|406|3658|4186|1417|1675|2719|5239|5509|4210|4195|3190","5.68E-26","","GO:0015995","2.2739928612014926","0"
"32","15","GO Biological Process","","Pigment biosynthetic process","2.36E-23","por|chlG|chlD|ACA98649.1|acsF|chlM|chlH-2|hemC|chlB|acsF-2|hemL|chlI|chlN|chlL|ACB00827.1","163300","3088|4321|4546|2845|406|3658|4186|1417|1675|2719|5239|5509|4210|4195|3190","1.27E-25","","GO:0046148","2.262708799702989","0"
"40","15","KEGG Pathways","","Porphyrin and chlorophyll metabolism","1.94E-22","por|chlG|chlD|ACA98649.1|acsF|chlM|chlH|chlH-2|hemC|chlB|acsF-2|hemL|chlI|chlN|chlL","163300","3088|4321|4546|2845|406|3658|3688|4186|1417|1675|2719|5239|5509|4210|4195","2.0E-24","","syp00860","2.1712198270069774","0"
"14","12","STRING Clusters","","Chlorophyll metabolic process","4.0E-20","por|chlG|chlD|acsF|chlM|chlH|chlH-2|chlB|acsF-2|chlI|chlN|chlL","163300","3088|4321|4546|406|3658|3688|4186|1675|2719|5509|4210|4195","3.09E-22","","CL:2143","1.9397940008672037","0"
"12","10","UniProt Keywords","","Chlorophyll biosynthesis","6.32E-16","por|chlD|acsF|hemC|chlB|acsF-2|hemL|chlI|chlN|chlL","163300","3088|4546|406|1417|1675|2719|5239|5509|4210|4195","2.95E-18","","KW-0149","1.5199282921717614","0"
"263","15","KEGG Pathways","","Biosynthesis of secondary metabolites","1.54E-11","por|chlG|chlD|ACA98649.1|acsF|chlM|chlH|chlH-2|hemC|chlB|acsF-2|hemL|chlI|chlN|chlL","163300","3088|4321|4546|2845|406|3658|3688|4186|1417|1675|2719|5239|5509|4210|4195","3.17E-13","","syp01110","1.0812479279163536","0"
"481","17","GO Biological Process","","Cellular aromatic compound metabolic process","1.43E-10","por|chlG|chlD|ACA98649.1|acsF|chlM|chlH|ACA99004.1|chlH-2|hemC|chlB|acsF-2|hemL|chlI|chlN|chlL|ACB00827.1","163300","3088|4321|4546|2845|406|3658|3688|3691|4186|1417|1675|2719|5239|5509|4210|4195|3190","1.67E-12","","GO:0006725","0.9844663962534937","0"
"498","17","GO Biological Process","","Heterocycle metabolic process","2.33E-10","por|chlG|chlD|ACA98649.1|acsF|chlM|chlH|ACA99004.1|chlH-2|hemC|chlB|acsF-2|hemL|chlI|chlN|chlL|ACB00827.1","163300","3088|4321|4546|2845|406|3658|3688|3691|4186|1417|1675|2719|5239|5509|4210|4195|3190","2.97E-12","","GO:0046483","0.963264407897398","0"
"509","17","GO Biological Process","","Organic cyclic compound metabolic process","2.96E-10","por|chlG|chlD|ACA98649.1|acsF|chlM|chlH|ACA99004.1|chlH-2|hemC|chlB|acsF-2|hemL|chlI|chlN|chlL|ACB00827.1","163300","3088|4321|4546|2845|406|3658|3688|3691|4186|1417|1675|2719|5239|5509|4210|4195|3190","4.26E-12","","GO:1901360","0.9528708288941061","0"
"581","17","GO Biological Process","","Cellular nitrogen compound metabolic process","2.47E-9","por|chlG|chlD|ACA98649.1|acsF|chlM|chlH|ACA99004.1|chlH-2|hemC|chlB|acsF-2|hemL|chlI|chlN|chlL|ACB00827.1","163300","3088|4321|4546|2845|406|3658|3688|3691|4186|1417|1675|2719|5239|5509|4210|4195|3190","3.78E-11","","GO:0034641","0.8607303046740334","0"
"111","10","GO Biological Process","","Photosynthesis","2.75E-8","por|chlD|acsF|chlH-2|chlB|acsF-2|chlI|chlN|chlL|ACB00827.1","163300","3088|4546|406|4186|1675|2719|5509|4210|4195|3190","4.46E-10","","GO:0015979","0.7560667306169737","0"
"5","5","GO Biological Process","","Light-independent chlorophyll biosynthetic process","7.3E-8","acsF|chlB|acsF-2|chlN|chlL","163300","406|1675|2719|4210|4195","1.38E-9","","GO:0036068","0.7136677139879544","0"
"5","5","STRING Clusters","","Oxidoreductase activity, acting on the CH-CH group of donors, iron-sulfur protein as acceptor, and Protochlorophyllide reductase activity","1.27E-7","por|chlG|chlB|chlN|chlL","163300","3088|4321|1675|4210|4195","1.38E-9","","CL:2145","0.6896196279044042","0"
"5","5","STRING Clusters","","Ligase activity, forming nitrogen-metal bonds","1.27E-7","chlD|chlM|chlH|chlH-2|chlI","163300","4546|3658|3688|4186|5509","1.38E-9","","CL:2160","0.6896196279044042","0"
"59","8","UniProt Keywords","","Photosynthesis","2.43E-7","por|chlD|acsF|chlB|acsF-2|chlI|chlN|chlL","163300","3088|4546|406|1675|2719|5509|4210|4195","2.27E-9","","KW-0602","0.6614393726401688","0"
