"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"14","9","STRING Clusters","","Histidine metabolism, and Inositol monophosphatase, metal-binding site","1.66E-17","hisIE|hisG|hisZ|hisF|hisA|ACA99890.1|hisB-2|hisD|hisH","163300","5404|1810|1828|1297|4786|1750|2776|514|1513","2.56E-20","","CL:3284","1.6779891911959943","0"
"9","8","KEGG Pathways","","Histidine metabolism","2.08E-16","hisIE|hisG|hisZ|hisF|hisA|hisB-2|hisD|hisH","163300","5404|1810|1828|1297|4786|2776|514|1513","2.15E-18","","syp00340","1.5681936665037237","0"
"10","8","UniProt Keywords","","Histidine biosynthesis","8.27E-16","hisIE|hisG|hisZ|hisF|hisA|hisB-2|hisD|hisH","163300","5404|1810|1828|1297|4786|2776|514|1513","3.86E-18","","KW-0368","1.5082494490447453","0"
"9","8","GO Biological Process","","Histidine biosynthetic process","2.39E-15","hisIE|hisG|hisZ|hisF|hisA|hisB-2|hisD|hisH","163300","5404|1810|1828|1297|4786|2776|514|1513","2.15E-18","","GO:0000105","1.4621602099051862","0"
"7","6","STRING Clusters","","Histidine metabolism","3.25E-11","hisIE|hisF|hisA|hisB-2|hisD|hisH","163300","5404|1297|4786|2776|514|1513","2.01E-13","","CL:3287","1.0488116639021126","0"
"90","8","KEGG Pathways","","Biosynthesis of amino acids","6.57E-10","hisIE|hisG|hisZ|hisF|hisA|hisB-2|hisD|hisH","163300","5404|1810|1828|1297|4786|2776|514|1513","1.35E-11","","syp01230","0.9182434630440219","0"
"229","8","UniProt Keywords","","Cytoplasm","1.28E-6","hisIE|hisG|hisZ|hisF|hisA|ACA99890.1|hisB-2|hisH","163300","5404|1810|1828|1297|4786|1750|2776|1513","1.8E-8","","KW-0963","0.5892790030352131","0"
"263","8","KEGG Pathways","","Biosynthesis of secondary metabolites","1.71E-6","hisIE|hisG|hisZ|hisF|hisA|hisB-2|hisD|hisH","163300","5404|1810|1828|1297|4786|2776|514|1513","5.28E-8","","syp01110","0.5767003889607846","0"
"550","9","KEGG Pathways","","Metabolic pathways","1.05E-5","hisIE|hisG|hisZ|hisF|hisA|ACA99890.1|hisB-2|hisD|hisH","163300","5404|1810|1828|1297|4786|1750|2776|514|1513","4.32E-7","","syp01100","0.4978810700930062","0"
"972","9","GO Biological Process","","Primary metabolic process","0.0048","hisIE|hisG|hisZ|hisF|hisA|ACA99890.1|hisB-2|hisD|hisH","163300","5404|1810|1828|1297|4786|1750|2776|514|1513","7.01E-5","","GO:0044238","0.23187587626244127","0"
"931","9","GO Cellular Component","","Cytoplasm","0.0068","hisIE|hisG|hisZ|hisF|hisA|ACA99890.1|hisB-2|hisD|hisH","163300","5404|1810|1828|1297|4786|1750|2776|514|1513","4.77E-5","","GO:0005737","0.2167491087293764","0"
"17","3","GO Molecular Function","","Pentosyltransferase activity","0.0148","hisG|hisF|hisH","163300","1810|1297|1513","2.46E-5","","GO:0016763","0.18297382846050425","0"
"2","2","GO Molecular Function","","Imidazoleglycerol-phosphate synthase activity","0.0161","hisF|hisH","163300","1297|1513","5.37E-5","","GO:0000107","0.17931741239681503","0"
"1220","9","GO Biological Process","","Organic substance metabolic process","0.0332","hisIE|hisG|hisZ|hisF|hisA|ACA99890.1|hisB-2|hisD|hisH","163300","5404|1810|1828|1297|4786|1750|2776|514|1513","5.4E-4","","GO:0071704","0.14788619162959638","0"
