"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"12","9","STRING Clusters","","UMP biosynthetic process","5.92E-17","pyrF|pyrF/pyrE|pyrE|ACA99433.1|upp|pyrR|pyrC|pyrC-2|pyrD","253919","5137|2056|958|5437|985|940|595|544|6247","9.15E-20","","CL:3041","1.622767829327708","0"
"25","9","KEGG Pathways","","Pyrimidine metabolism","1.58E-15","pyrF|pyrF/pyrE|pyrE|ACA99433.1|upp|pyrR|pyrC|pyrC-2|pyrD","253919","5137|2056|958|5437|985|940|595|544|6247","1.63E-17","","syp00240","1.4801342913045576","0"
"18","8","GO Biological Process","","Pyrimidine nucleotide biosynthetic process","7.59E-13","pyrF|pyrF/pyrE|pyrE|ACA99433.1|upp|pyrC|pyrC-2|pyrD","253919","5137|2056|958|5437|985|595|544|6247","6.82E-16","","GO:0006221","1.211975822410452","0"
"10","7","GO Biological Process","","UMP biosynthetic process","2.24E-12","pyrF|pyrF/pyrE|pyrE|ACA99433.1|upp|pyrC-2|pyrD","253919","5137|2056|958|5437|985|544|6247","8.02E-15","","GO:0006222","1.1649751981665837","0"
"12","7","UniProt Keywords","","Pyrimidine biosynthesis","4.44E-12","pyrF|pyrF/pyrE|pyrE|ACA99433.1|pyrC|pyrC-2|pyrD","253919","5137|2056|958|5437|595|544|6247","2.07E-14","","KW-0665","1.135261702988538","0"
"9","6","GO Biological Process","","De novo UMP biosynthetic process","1.25E-10","pyrF|pyrF/pyrE|pyrE|ACA99433.1|pyrC-2|pyrD","253919","5137|2056|958|5437|544|6247","1.46E-12","","GO:0044205","0.9903089986991944","0"
"7","5","GO Biological Process","","Pyrimidine nucleobase biosynthetic process","7.25E-9","pyrF|pyrF/pyrE|upp|pyrC-2|pyrD","253919","5137|2056|985|544|6247","1.3E-10","","GO:0019856","0.8139661993429007","0"
"7","4","STRING Clusters","","De novo UMP biosynthetic process","2.76E-6","pyrF/pyrE|ACA99433.1|pyrC|pyrD","253919","2056|5437|595|6247","2.56E-8","","CL:3044","0.5559090917934782","0"
"5","3","GO Biological Process","","De novo pyrimidine nucleobase biosynthetic process","4.66E-5","pyrF|pyrF/pyrE|pyrD","253919","5137|2056|6247","1.76E-6","","GO:0006207","0.433161408331","0"
"9","4","InterPro Domains","","Phosphoribosyltransferase domain","6.55E-5","pyrF/pyrE|pyrE|upp|pyrR","253919","2056|958|985|940","5.52E-8","","IPR000836","0.41837587000082166","0"
"9","4","InterPro Domains","","Phosphoribosyltransferase-like","6.55E-5","pyrF/pyrE|pyrE|upp|pyrR","253919","2056|958|985|940","5.52E-8","","IPR029057","0.41837587000082166","0"
"550","9","KEGG Pathways","","Metabolic pathways","1.7E-4","pyrF|pyrF/pyrE|pyrE|ACA99433.1|upp|pyrR|pyrC|pyrC-2|pyrD","253919","5137|2056|958|5437|985|940|595|544|6247","3.55E-6","","syp01100","0.37695510786217257","0"
"27","4","UniProt Keywords","","Glycosyltransferase","2.5E-4","pyrF/pyrE|pyrE|upp|pyrR","253919","2056|958|985|940","2.36E-6","","KW-0328","0.3602059991327963","0"
"6","3","Pfam","","Phosphoribosyl transferase domain","0.0013","pyrF/pyrE|pyrE|pyrR","253919","2056|958|940","2.63E-6","","PF00156","0.2886056647693163","0"
"50","4","InterPro Domains","","Aldolase-type TIM barrel","0.009","pyrF|pyrF/pyrE|ACA99433.1|pyrD","253919","5137|2056|5437|6247","2.28E-5","","IPR013785","0.2045757490560675","0"
"2","2","Pfam","","Dihydroorotate dehydrogenase","0.0162","ACA99433.1|pyrD","253919","5437|6247","6.71E-5","","PF01180","0.17904849854573693","0"
"2","2","InterPro Domains","","Orotidine 5-phosphate decarboxylase domain","0.0199","pyrF|pyrF/pyrE","253919","5137|2056","6.71E-5","","IPR001754","0.17011469235902935","0"
"2","2","InterPro Domains","","Orotate phosphoribosyl transferase domain","0.0199","pyrF/pyrE|pyrE","253919","2056|958","6.71E-5","","IPR004467","0.17011469235902935","0"
"2","2","InterPro Domains","","Dihydroorotate dehydrogenase domain","0.0199","ACA99433.1|pyrD","253919","5437|6247","6.71E-5","","IPR005720","0.17011469235902935","0"
"2","2","InterPro Domains","","Dihydroorotate dehydrogenase, class 1/ 2","0.0199","ACA99433.1|pyrD","253919","5437|6247","6.71E-5","","IPR012135","0.17011469235902935","0"
"2","2","InterPro Domains","","Orotate phosphoribosyltransferase","0.0199","pyrF/pyrE|pyrE","253919","2056|958","6.71E-5","","IPR023031","0.17011469235902935","0"
"2","2","GO Molecular Function","","Dihydroorotase activity","0.021","pyrC|pyrC-2","253919","595|544","6.71E-5","","GO:0004151","0.16777807052660806","0"
"2","2","GO Molecular Function","","Dihydroorotate dehydrogenase activity","0.021","ACA99433.1|pyrD","253919","5437|6247","6.71E-5","","GO:0004152","0.16777807052660806","0"
"2","2","GO Molecular Function","","Orotate phosphoribosyltransferase activity","0.021","pyrF/pyrE|pyrE","253919","2056|958","6.71E-5","","GO:0004588","0.16777807052660806","0"
"2","2","GO Molecular Function","","orotidine-5-phosphate decarboxylase activity","0.021","pyrF|pyrF/pyrE","253919","5137|2056","6.71E-5","","GO:0004590","0.16777807052660806","0"
"80","4","GO Molecular Function","","Glycosyltransferase activity","0.021","pyrF/pyrE|pyrE|upp|pyrR","253919","2056|958|985|940","1.3E-4","","GO:0016757","0.16777807052660806","0"
"17","3","GO Molecular Function","","Pentosyltransferase activity","0.021","pyrF/pyrE|pyrE|pyrR","253919","2056|958|940","3.5E-5","","GO:0016763","0.16777807052660806","0"
"9","2","UniProt Keywords","","Decarboxylase","0.0433","pyrF|pyrF/pyrE","253919","5137|2056","6.1E-4","","KW-0210","0.13635121036466347","0"
