"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"102","64","STRING Clusters","","Signaling, and GGDEF domain","3.49E-76","ACA98062.1|ACA98063.1|ACA98064.1|ACA98065.1|ACA98066.1|ACA98162.1|ACA98231.1|ACA98305.1|ACA98450.1|rpaB|ACA98503.1|pmgA|ACA98615.1|ACA98664.1|ACA98694.1|ACA98838.1|pleD|ACA98855.1|ACA98871.1|ACA98904.1|ACA98910.1|ACA98941.1|ACA98943.1|ACA98982.1|ACA98999.1|ACA99222.1|ACA99259.1|rpaA|ACA99350.1|ACA99351.1|ACA99359.1|ACA99368.1|ACA99371.1|ACA99378.1|ACA99396.1|ACA99441.1|ACA99442.1|ACA99629.1|ACA99847.1|ACA99924.1|ACA99941.1|ACB00020.1|ACB00084.1|ACB00097.1|ACB00100.1|ACB00101.1|ACB00148.1|ACB00250.1|ACB00342.1|ACB00343.1|ACB00439.1|ACB00482.1|ACB00501.1|cheY|ACB00552.1|ACB00564.1|ACB00621.1|ACB00631.1|ACB00645.1|ACB00726.1|ACB00727.1|ACB00784.1|ACB00804.1|ACB00831.1","163300","5692|5683|5644|5638|5659|3739|3031|2548|6262|5440|5371|4834|1891|2761|3097|5023|4996|4987|4930|3673|3652|3268|3256|3403|4516|853|1168|6139|5269|5281|5188|5698|5689|5632|4807|3925|3916|1276|4408|1894|1795|583|1207|1120|1114|1108|5047|3601|4066|4072|2608|1633|1531|1024|721|1201|6085|5494|5395|4705|4687|2887|2764|3133","5.39E-79","","CL:1665","7.5457174573040815","0"
"92","62","STRING Clusters","","Signaling, and GGDEF domain","3.39E-74","ACA98062.1|ACA98063.1|ACA98064.1|ACA98065.1|ACA98066.1|ACA98162.1|ACA98231.1|ACA98305.1|ACA98450.1|rpaB|ACA98503.1|pmgA|ACA98615.1|ACA98664.1|ACA98694.1|ACA98838.1|pleD|ACA98855.1|ACA98871.1|ACA98904.1|ACA98910.1|ACA98941.1|ACA98943.1|ACA98982.1|ACA98999.1|ACA99222.1|ACA99259.1|rpaA|ACA99350.1|ACA99351.1|ACA99359.1|ACA99368.1|ACA99371.1|ACA99378.1|ACA99396.1|ACA99629.1|ACA99847.1|ACA99924.1|ACA99941.1|ACB00020.1|ACB00084.1|ACB00097.1|ACB00100.1|ACB00101.1|ACB00148.1|ACB00250.1|ACB00342.1|ACB00343.1|ACB00439.1|ACB00482.1|ACB00501.1|cheY|ACB00552.1|ACB00564.1|ACB00621.1|ACB00631.1|ACB00645.1|ACB00726.1|ACB00727.1|ACB00784.1|ACB00804.1|ACB00831.1","163300","5692|5683|5644|5638|5659|3739|3031|2548|6262|5440|5371|4834|1891|2761|3097|5023|4996|4987|4930|3673|3652|3268|3256|3403|4516|853|1168|6139|5269|5281|5188|5698|5689|5632|4807|1276|4408|1894|1795|583|1207|1120|1114|1108|5047|3601|4066|4072|2608|1633|1531|1024|721|1201|6085|5494|5395|4705|4687|2887|2764|3133","1.05E-76","","CL:1666","7.346980030179692","0"
"78","56","STRING Clusters","","Signaling, and GGDEF domain","1.31E-65","ACA98062.1|ACA98063.1|ACA98064.1|ACA98065.1|ACA98066.1|ACA98162.1|ACA98231.1|ACA98305.1|ACA98450.1|rpaB|ACA98503.1|ACA98615.1|ACA98664.1|ACA98694.1|ACA98838.1|pleD|ACA98855.1|ACA98871.1|ACA98904.1|ACA98941.1|ACA98943.1|ACA98982.1|ACA98999.1|ACA99222.1|ACA99259.1|rpaA|ACA99350.1|ACA99351.1|ACA99359.1|ACA99368.1|ACA99371.1|ACA99378.1|ACA99396.1|ACA99629.1|ACA99847.1|ACA99924.1|ACA99941.1|ACB00020.1|ACB00084.1|ACB00097.1|ACB00148.1|ACB00250.1|ACB00342.1|ACB00343.1|ACB00439.1|ACB00482.1|ACB00501.1|cheY|ACB00552.1|ACB00564.1|ACB00621.1|ACB00631.1|ACB00645.1|ACB00784.1|ACB00804.1|ACB00831.1","163300","5692|5683|5644|5638|5659|3739|3031|2548|6262|5440|5371|1891|2761|3097|5023|4996|4987|4930|3673|3268|3256|3403|4516|853|1168|6139|5269|5281|5188|5698|5689|5632|4807|1276|4408|1894|1795|583|1207|1120|5047|3601|4066|4072|2608|1633|1531|1024|721|1201|6085|5494|5395|2887|2764|3133","1.21E-67","","CL:1668","6.4882728704344235","0"
"77","48","GO Biological Process","","Signal transduction","2.38E-50","ACA98062.1|ACA98063.1|ACA98064.1|ACA98065.1|ACA98066.1|ACA98162.1|ACA98231.1|ACA98305.1|ACA98450.1|rpaB|ACA98503.1|ACA98615.1|ACA98694.1|ACA98838.1|ACA98855.1|ACA98871.1|ACA98904.1|ACA98910.1|ACA98941.1|ACA98982.1|ACA98999.1|ACA99222.1|ACA99259.1|rpaA|ACA99350.1|ACA99359.1|ACA99368.1|ACA99371.1|ACA99378.1|ACA99396.1|ACA99442.1|ACA99629.1|ACA99924.1|ACA99941.1|ACB00084.1|ACB00097.1|ACB00250.1|ACB00342.1|ACB00343.1|ACB00482.1|ACB00501.1|cheY|ACB00552.1|ACB00645.1|ACB00727.1|ACB00784.1|ACB00804.1|ACB00831.1","163300","5692|5683|5644|5638|5659|3739|3031|2548|6262|5440|5371|1891|3097|5023|4987|4930|3673|3652|3268|3403|4516|853|1168|6139|5269|5188|5698|5689|5632|4807|3916|1276|1894|1795|1207|1120|3601|4066|4072|1633|1531|1024|721|5395|4687|2887|2764|3133","2.14E-53","","GO:0007165","4.962342304294348","0"
"64","45","STRING Clusters","","Signaling","3.53E-49","ACA98062.1|ACA98063.1|ACA98064.1|ACA98065.1|ACA98066.1|ACA98162.1|ACA98231.1|ACA98305.1|ACA98450.1|rpaB|ACA98503.1|ACA98615.1|ACA98694.1|ACA98838.1|ACA98855.1|ACA98871.1|ACA98904.1|ACA98941.1|ACA98982.1|ACA98999.1|ACA99222.1|ACA99259.1|rpaA|ACA99350.1|ACA99359.1|ACA99368.1|ACA99371.1|ACA99378.1|ACA99396.1|ACA99629.1|ACA99924.1|ACA99941.1|ACB00020.1|ACB00084.1|ACB00097.1|ACB00250.1|ACB00343.1|ACB00482.1|ACB00501.1|cheY|ACB00552.1|ACB00621.1|ACB00645.1|ACB00784.1|ACB00804.1","163300","5692|5683|5644|5638|5659|3739|3031|2548|6262|5440|5371|1891|3097|5023|4987|4930|3673|3268|3403|4516|853|1168|6139|5269|5188|5698|5689|5632|4807|1276|1894|1795|583|1207|1120|3601|4072|1633|1531|1024|721|6085|5395|2887|2764","3.82E-51","","CL:1669","4.845222529461218","0"
"65","45","GO Biological Process","","Phosphorelay signal transduction system","1.78E-48","ACA98062.1|ACA98063.1|ACA98066.1|ACA98162.1|ACA98231.1|ACA98305.1|ACA98450.1|rpaB|ACA98503.1|ACA98615.1|ACA98694.1|ACA98838.1|ACA98855.1|ACA98871.1|ACA98904.1|ACA98910.1|ACA98941.1|ACA98982.1|ACA98999.1|ACA99222.1|ACA99259.1|rpaA|ACA99350.1|ACA99359.1|ACA99371.1|ACA99378.1|ACA99396.1|ACA99442.1|ACA99629.1|ACA99924.1|ACA99941.1|ACB00084.1|ACB00097.1|ACB00250.1|ACB00342.1|ACB00343.1|ACB00482.1|ACB00501.1|cheY|ACB00552.1|ACB00645.1|ACB00727.1|ACB00784.1|ACB00804.1|ACB00831.1","163300","5692|5683|5659|3739|3031|2548|6262|5440|5371|1891|3097|5023|4987|4930|3673|3652|3268|3403|4516|853|1168|6139|5269|5188|5689|5632|4807|3916|1276|1894|1795|1207|1120|3601|4066|4072|1633|1531|1024|721|5395|4687|2887|2764|3133","6.41E-51","","GO:0000160","4.774957999769111","0"
"215","58","GO Biological Process","","Regulation of cellular process","1.78E-48","ACA98062.1|ACA98063.1|ACA98064.1|ACA98065.1|ACA98066.1|ACA98162.1|ACA98231.1|ACA98305.1|ACA98450.1|rpaB|ACA98503.1|ACA98615.1|ACA98664.1|ACA98694.1|ACA98838.1|ACA98855.1|ACA98871.1|ACA98904.1|ACA98910.1|ACA98941.1|ACA98943.1|ACA98982.1|ACA98999.1|ACA99222.1|ACA99230.1|ACA99259.1|rpaA|ACA99350.1|ACA99359.1|ACA99368.1|ACA99371.1|ACA99378.1|ACA99396.1|ACA99442.1|ACA99629.1|ACA99847.1|ACA99924.1|ACA99941.1|ACB00020.1|ACB00084.1|ACB00097.1|ACB00101.1|ACB00148.1|ACB00250.1|ACB00342.1|ACB00343.1|ACB00439.1|ACB00482.1|ACB00501.1|cheY|ACB00552.1|ACB00564.1|ACB00631.1|ACB00645.1|ACB00727.1|ACB00784.1|ACB00804.1|ACB00831.1","163300","5692|5683|5644|5638|5659|3739|3031|2548|6262|5440|5371|1891|2761|3097|5023|4987|4930|3673|3652|3268|3256|3403|4516|853|805|1168|6139|5269|5188|5698|5689|5632|4807|3916|1276|4408|1894|1795|583|1207|1120|1108|5047|3601|4066|4072|2608|1633|1531|1024|721|1201|5494|5395|4687|2887|2764|3133","7.1E-51","","GO:0050794","4.774957999769111","0"
"258","59","GO Biological Process","","Regulation of biological process","2.7E-46","ACA98062.1|ACA98063.1|ACA98064.1|ACA98065.1|ACA98066.1|ACA98162.1|ACA98231.1|ACA98305.1|ACA98450.1|rpaB|ACA98503.1|ACA98615.1|ACA98664.1|ACA98694.1|ACA98838.1|ACA98855.1|ACA98871.1|ACA98904.1|ACA98910.1|ACA98941.1|ACA98943.1|ACA98982.1|ACA98999.1|ACA99222.1|ACA99230.1|ACA99259.1|rpaA|ACA99350.1|ACA99351.1|ACA99359.1|ACA99368.1|ACA99371.1|ACA99378.1|ACA99396.1|ACA99442.1|ACA99629.1|ACA99847.1|ACA99924.1|ACA99941.1|ACB00020.1|ACB00084.1|ACB00097.1|ACB00101.1|ACB00148.1|ACB00250.1|ACB00342.1|ACB00343.1|ACB00439.1|ACB00482.1|ACB00501.1|cheY|ACB00552.1|ACB00564.1|ACB00631.1|ACB00645.1|ACB00727.1|ACB00784.1|ACB00804.1|ACB00831.1","163300","5692|5683|5644|5638|5659|3739|3031|2548|6262|5440|5371|1891|2761|3097|5023|4987|4930|3673|3652|3268|3256|3403|4516|853|805|1168|6139|5269|5281|5188|5698|5689|5632|4807|3916|1276|4408|1894|1795|583|1207|1120|1108|5047|3601|4066|4072|2608|1633|1531|1024|721|1201|5494|5395|4687|2887|2764|3133","1.7E-48","","GO:0050789","4.556863623584102","0"
"47","36","STRING Clusters","","Phosphorelay signal transduction system","1.19E-38","ACA98063.1|ACA98162.1|ACA98231.1|ACA98305.1|ACA98450.1|rpaB|ACA98503.1|ACA98615.1|ACA98694.1|ACA98838.1|ACA98855.1|ACA98871.1|ACA98904.1|ACA98941.1|ACA98982.1|ACA98999.1|ACA99222.1|rpaA|ACA99350.1|ACA99359.1|ACA99378.1|ACA99396.1|ACA99924.1|ACA99941.1|ACB00020.1|ACB00084.1|ACB00097.1|ACB00250.1|ACB00343.1|ACB00482.1|ACB00501.1|ACB00552.1|ACB00621.1|ACB00645.1|ACB00784.1|ACB00804.1","163300","5683|3739|3031|2548|6262|5440|5371|1891|3097|5023|4987|4930|3673|3268|3403|4516|853|6139|5269|5188|5632|4807|1894|1795|583|1207|1120|3601|4072|1633|1531|721|6085|5395|2887|2764","1.47E-40","","CL:1670","3.7924453038607466","0"
"47","34","SMART Domains","","cheY-homologous receiver domain","1.74E-35","ACA98062.1|ACA98063.1|ACA98066.1|ACA98162.1|ACA98231.1|ACA98305.1|rpaB|ACA98503.1|ACA98615.1|ACA98694.1|ACA98855.1|ACA98871.1|ACA98904.1|ACA98910.1|ACA98941.1|ACA98943.1|ACA98982.1|ACA98999.1|ACA99222.1|ACA99259.1|rpaA|ACA99350.1|ACA99371.1|ACA99378.1|ACA99629.1|ACA99924.1|ACB00020.1|ACB00097.1|ACB00342.1|ACB00482.1|ACB00501.1|cheY|ACB00784.1|ACB00804.1","163300","5692|5683|5659|3739|3031|2548|5440|5371|1891|3097|4987|4930|3673|3652|3268|3256|3403|4516|853|1168|6139|5269|5689|5632|1276|1894|583|1120|4066|1633|1531|1024|2887|2764","1.81E-37","","SM00448","3.4759450751717402","0"
