"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"13","7","COMPARTMENTS","","Carboxysome","7.09E-14","ccmM|ccmL|ccmK|ccmK-2|ACB00012.1|ccmK-3|ccmK-4","163300","3502|3505|3493|3499|613|6298|6304","2.71E-16","","GOCC:0031470","1.3149353764816933","0"
"16","7","STRING Clusters","","Carbon fixation, and Iron-containing alcohol dehydrogenase","5.54E-13","ccmM|ccmL|ccmK|ccmK-2|ACB00012.1|ccmK-3|ccmK-4","163300","3502|3505|3493|3499|613|6298|6304","8.56E-16","","CL:1596","1.225649023527157","0"
"21","7","GO Cellular Component","","Carboxysome","5.91E-13","ccmM|ccmL|ccmK|ccmK-2|ACB00012.1|ccmK-3|ccmK-4","163300","3502|3505|3493|3499|613|6298|6304","4.14E-15","","GO:0031470","1.2228412519118745","0"
"16","7","GO Biological Process","","Carbon fixation","9.52E-13","ccmM|ccmL|ccmK|ccmK-2|ACB00012.1|ccmK-3|ccmK-4","163300","3502|3505|3493|3499|613|6298|6304","8.56E-16","","GO:0015977","1.2021363051615526","0"
"19","7","GO Molecular Function","","Structural constituent of carboxysome","1.38E-12","ccmM|ccmL|ccmK|ccmK-2|ACB00012.1|ccmK-3|ccmK-4","163300","3502|3505|3493|3499|613|6298|6304","2.3E-15","","GO:0043886","1.1860120913598764","0"
"6","5","SMART Domains","","Bacterial microcompartments are primitive organelles composed entirely of protein subunits. The prototypical bacterial microcompartment is the carboxysome, a protein shell for sequestering carbon fixation reactions. These proteins for hexameric ...","6.16E-10","ccmK|ccmK-2|ACB00012.1|ccmK-3|ccmK-4","163300","3493|3499|613|6298|6304","6.41E-12","","SM00877","0.9210419287835574","0"
"6","5","InterPro Domains","","Bacterial microcompartment domain","7.61E-9","ccmK|ccmK-2|ACB00012.1|ccmK-3|ccmK-4","163300","3493|3499|613|6298|6304","6.41E-12","","IPR000249","0.8118615343229427","0"
"6","5","InterPro Domains","","CcmK-like superfamily","7.61E-9","ccmK|ccmK-2|ACB00012.1|ccmK-3|ccmK-4","163300","3493|3499|613|6298|6304","6.41E-12","","IPR037233","0.8118615343229427","0"
"11","5","STRING Clusters","","Carbon fixation","9.78E-9","ccmM|ccmL|ccmK|ccmK-2|ACB00012.1","163300","3502|3505|3493|3499|613","6.05E-11","","CL:1598","0.8009661145212398","0"
"111","7","GO Biological Process","","Photosynthesis","1.02E-7","ccmM|ccmL|ccmK|ccmK-2|ACB00012.1|ccmK-3|ccmK-4","163300","3502|3505|3493|3499|613|6298|6304","1.84E-10","","GO:0015979","0.6991399828238082","0"
"5","4","STRING Clusters","","CcmK-like superfamily","1.78E-7","ccmL|ccmK|ccmK-2|ACB00012.1","163300","3505|3493|3499|613","1.65E-9","","CL:1610","0.6749579997691106","0"
"4","4","InterPro Domains","","Carboxysome shell protein CcmK","3.62E-7","ccmK|ccmK-2|ccmK-3|ccmK-4","163300","3493|3499|6298|6304","9.16E-10","","IPR046380","0.6441291429466834","0"
"5","4","InterPro Domains","","CcmK/CsoS1, bacterial microcompartment domain","4.88E-7","ccmK|ccmK-2|ccmK-3|ccmK-4","163300","3493|3499|6298|6304","1.65E-9","","IPR044872","0.6311580177997289","0"
"4","3","InterPro Domains","","Bacterial microcompartments protein, conserved site","7.67E-5","ccmK|ccmK-2|ccmK-4","163300","3493|3499|6304","3.23E-7","","IPR020808","0.4115204636051019","0"
