"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"36","7","KEGG Pathways","","Quorum sensing","1.09E-11","ddpA|ACA98829.1|ACA98923.1|ACB00006.1|ACB00129.1|ACB00249.1|ACB00527.1","163300","760|4849|3301|646|5083|3595|895","1.13E-13","","syp02024","1.0962573502059376","0"
"46","7","STRING Clusters","","Mixed, incl. Nickel cation binding, and Quorum sensing","3.48E-10","ddpA|ACA98829.1|ACA98923.1|ACB00006.1|ACB00129.1|ACB00249.1|ACB00527.1","163300","760|4849|3301|646|5083|3595|895","5.38E-13","","CL:4462","0.945842075605342","0"
"39","6","Reactome Pathways","","Latent infection - Other responses of Mtb to phagocytosis","1.27E-9","ddpA|ACA98829.1|ACA98923.1|ACB00006.1|ACB00129.1|ACB00527.1","163300","760|4849|3301|646|5083|895","7.94E-11","","MAP-1222499","0.8896196279044043","0"
"6","5","STRING Clusters","","Mixed, incl. ABC transporter type 1, GsiC-like, N-terminal domain, and Oligopeptide/dipeptide ABC transporter, C-terminal","2.03E-9","ACA98923.1|ACB00006.1|ACB00129.1|ACB00249.1|ACB00527.1","163300","3301|646|5083|3595|895","6.41E-12","","CL:4535","0.8692503962086787","0"
"60","6","Reactome Pathways","","Disease","4.77E-9","ddpA|ACA98829.1|ACA98923.1|ACB00006.1|ACB00129.1|ACB00527.1","163300","760|4849|3301|646|5083|895","8.8E-10","","MAP-1643685","0.8321481620959886","0"
"57","6","Reactome Pathways","","Infectious disease","4.77E-9","ddpA|ACA98829.1|ACA98923.1|ACB00006.1|ACB00129.1|ACB00527.1","163300","760|4849|3301|646|5083|895","6.59E-10","","MAP-5663205","0.8321481620959886","0"
"56","6","Reactome Pathways","","Infection with Mycobacterium tuberculosis","4.77E-9","ddpA|ACA98829.1|ACA98923.1|ACB00006.1|ACB00129.1|ACB00527.1","163300","760|4849|3301|646|5083|895","5.96E-10","","MAP-9635486","0.8321481620959886","0"
"19","4","Pfam","","Binding-protein-dependent transport system inner membrane component","4.8E-5","ACA98829.1|ACA98923.1|ACB00129.1|ACB00527.1","163300","4849|3301|5083|895","1.14E-7","","PF00528","0.4318758762624412","0"
"19","4","InterPro Domains","","ABC transporter type 1, transmembrane domain MetI-like","1.4E-4","ACA98829.1|ACA98923.1|ACB00129.1|ACB00527.1","163300","4849|3301|5083|895","1.14E-7","","IPR000515","0.38538719643217617","0"
"19","4","InterPro Domains","","MetI-like superfamily","1.4E-4","ACA98829.1|ACA98923.1|ACB00129.1|ACB00527.1","163300","4849|3301|5083|895","1.14E-7","","IPR035906","0.38538719643217617","0"
"3","3","InterPro Domains","","ABC transporter type 1, GsiC-like, N-terminal domain","1.4E-4","ACA98829.1|ACB00129.1|ACB00527.1","163300","4849|5083|895","1.85E-7","","IPR045621","0.38538719643217617","0"
"309","7","GO Biological Process","","Transport","2.3E-4","ddpA|ACA98829.1|ACA98923.1|ACB00006.1|ACB00129.1|ACB00249.1|ACB00527.1","163300","760|4849|3301|646|5083|3595|895","2.04E-7","","GO:0006810","0.36382721639824067","0"
"457","7","GO Cellular Component","","Plasma membrane","4.4E-4","ddpA|ACA98829.1|ACA98923.1|ACB00006.1|ACB00129.1|ACB00249.1|ACB00527.1","163300","760|4849|3301|646|5083|3595|895","3.07E-6","","GO:0005886","0.33565473235138127","0"
"235","6","GO Biological Process","","Transmembrane transport","6.5E-4","ddpA|ACA98829.1|ACA98923.1|ACB00006.1|ACB00129.1|ACB00527.1","163300","760|4849|3301|646|5083|895","2.34E-6","","GO:0055085","0.31870866433571443","0"
"134","5","UniProt Keywords","","Transport","0.0011","ACA98829.1|ACA98923.1|ACB00129.1|ACB00249.1|ACB00527.1","163300","4849|3301|5083|3595|895","5.17E-6","","KW-0813","0.2958607314841775","0"
"94","4","UniProt Keywords","","Cell membrane","0.0047","ACA98829.1|ACA98923.1|ACB00129.1|ACB00527.1","163300","4849|3301|5083|895","4.37E-5","","KW-1003","0.23279021420642826","0"
"3","2","Pfam","","Bacterial extracellular solute-binding proteins, family 5 Middle","0.011","ddpA|ACB00006.1","163300","760|646","5.23E-5","","PF00496","0.1958607314841775","0"
"3","2","InterPro Domains","","Solute-binding protein family 5 domain","0.0155","ddpA|ACB00006.1","163300","760|646","5.23E-5","","IPR000914","0.18096683018297086","0"
"3","2","InterPro Domains","","Peptide/nickel binding protein, MppA-type","0.0155","ddpA|ACB00006.1","163300","760|646","5.23E-5","","IPR030678","0.18096683018297086","0"
"3","2","InterPro Domains","","Solute-binding protein family 5","0.0155","ddpA|ACB00006.1","163300","760|646","5.23E-5","","IPR039424","0.18096683018297086","0"
"201","5","GO Molecular Function","","Transmembrane transporter activity","0.0217","ddpA|ACA98829.1|ACA98923.1|ACB00006.1|ACB00129.1","163300","760|4849|3301|646|5083","3.63E-5","","GO:0022857","0.16635402661514703","0"
"4","2","GO Molecular Function","","Peptide transmembrane transporter activity","0.0217","ddpA|ACB00006.1","163300","760|646","7.83E-5","","GO:1904680","0.16635402661514703","0"
"689","6","GO Cellular Component","","Integral component of membrane","0.0423","ddpA|ACA98829.1|ACA98923.1|ACB00006.1|ACB00129.1|ACB00527.1","163300","760|4849|3301|646|5083|895","0.0012","","GO:0016021","0.13736596326249578","0"
"20","2","GO Cellular Component","","ATP-binding cassette (ABC) transporter complex","0.0423","ddpA|ACB00006.1","163300","760|646","0.0012","","GO:0043190","0.13736596326249578","0"
