"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"42","4","KEGG Pathways","","Purine metabolism","0.0018","ACA98276.1|guaA|purH|purB","163300","2191|5206|985|6028","1.85E-5","","syp00230","1.0","0"
"25","3","KEGG Pathways","","Aminoacyl-tRNA biosynthesis","0.0066","aspS|gatA|asnS","163300","5800|4138|2572","1.4E-4","","syp00970","0.7944162283914452","0"
"17","3","UniProt Keywords","","Purine biosynthesis","0.0102","guaA|purH|purB","163300","5206|985|6028","4.79E-5","","KW-0658","0.7255364446709981","0"
"68","4","UniProt Keywords","","Ligase","0.0118","aspS|gatA|guaA|asnS","163300","5800|4138|5206|2572","1.1E-4","","KW-0436","0.7024806638469022","0"
"54","4","STRING Clusters","","Nucleoside monophosphate metabolic process, and Pyrimidine metabolism","0.0303","ACA98276.1|guaA|purH|purB","163300","2191|5206|985|6028","4.69E-5","","CL:2994","0.5532634384729149","0"
"47","4","GO Biological Process","","Purine nucleotide biosynthetic process","0.0311","ACA98276.1|guaA|purH|purB","163300","2191|5206|985|6028","2.8E-5","","GO:0006164","0.5491399833956528","0"
"22","3","GO Biological Process","","Purine ribonucleoside monophosphate biosynthetic process","0.0311","guaA|purH|purB","163300","5206|985|6028","9.56E-5","","GO:0009168","0.5491399833956528","0"
"4","2","GO Biological Process","","Negative regulation of catalytic activity","0.0311","ychF|ACB00815.1","163300","5986|2680","2.0E-4","","GO:0043086","0.5491399833956528","0"
"315","7","GO Biological Process","","Cellular nitrogen compound biosynthetic process","0.0311","ACA98276.1|aspS|gatA|guaA|purH|asnS|purB","163300","2191|5800|4138|5206|985|2572|6028","5.05E-5","","GO:0044271","0.5491399833956528","0"
"392","7","GO Biological Process","","Organonitrogen compound biosynthetic process","0.0311","ACA98276.1|aspS|gatA|guaA|purH|asnS|purB","163300","2191|5800|4138|5206|985|2572|6028","2.1E-4","","GO:1901566","0.5491399833956528","0"
"45","3","GO Biological Process","","Purine ribonucleotide biosynthetic process","0.0385","guaA|purH|purB","163300","5206|985|6028","6.8E-4","","GO:0009152","0.5153660147033066","0"
"663","8","GO Biological Process","","Organonitrogen compound metabolic process","0.0396","rimI|ACA98276.1|aspS|gatA|guaA|purH|asnS|purB","163300","3589|2191|5800|4138|5206|985|2572|6028","7.8E-4","","GO:1901564","0.5109085753255325","0"
"43","3","UniProt Keywords","","Protein biosynthesis","0.043","aspS|gatA|asnS","163300","5800|4138|2572","6.0E-4","","KW-0648","0.49787512492996944","0"
"213","5","UniProt Keywords","","ATP-binding","0.0433","aspS|gatA|guaA|ychF|asnS","163300","5800|4138|5206|5986|2572","8.1E-4","","KW-0067","0.4967750372967188","0"
