"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"23","13","GO Biological Process","","Cell wall macromolecule biosynthetic process","2.2E-21","murB|murC|murE|mviN|ACA98643.1|murD|mraY|ACA99598.1|rodA|ACB00308.1|tagO|murG|murF","253919","5533|5521|4636|4558|3349|6040|1498|1486|6250|4381|2578|1231|6331","1.97E-24","","GO:0044038","2.0657577319177793","0"
"22","12","GO Biological Process","","Peptidoglycan biosynthetic process","8.13E-20","murB|murC|murE|mviN|ACA98643.1|murD|mraY|ACA99598.1|rodA|ACB00308.1|murG|murF","253919","5533|5521|4636|4558|3349|6040|1498|1486|6250|4381|1231|6331","4.39E-22","","GO:0009252","1.9089909454405931","0"
"36","13","STRING Clusters","","Peptidoglycan biosynthesis, and Regulation of cell shape","1.17E-19","murB|murC|murE|mviN|ACA98643.1|murD|mraY|ACA99598.1|rodA|ACB00278.1|alrA|murG|murF","253919","5533|5521|4636|4558|3349|6040|1498|1486|6250|4639|2806|1231|6331","2.22E-22","","CL:3663","1.8931814138253837","0"
"20","12","STRING Clusters","","Cell shape, and Penicillin-binding Protein dimerisation domain","1.17E-19","murB|murC|murE|mviN|ACA98643.1|murD|mraY|ACA99598.1|rodA|ACB00278.1|murG|murF","253919","5533|5521|4636|4558|3349|6040|1498|1486|6250|4639|1231|6331","1.81E-22","","CL:3666","1.8931814138253837","0"
"29","12","GO Biological Process","","Cell wall organization","6.98E-19","murB|murC|murE|mviN|ACA98643.1|murD|mraY|rodA|ACB00308.1|tagO|murG|murF","253919","5533|5521|4636|4558|3349|6040|1498|6250|4381|2578|1231|6331","6.27E-21","","GO:0071555","1.8156144577376838","0"
"22","11","KEGG Pathways","","Peptidoglycan biosynthesis","1.05E-17","murB|murC|murE|ACA98643.1|murD|mraY|ACA99598.1|ACB00278.1|ACB00308.1|murG|murF","253919","5533|5521|4636|3349|6040|1498|1486|4639|4381|1231|6331","1.09E-19","","syp00550","1.6978810700930063","0"
"27","11","GO Biological Process","","Regulation of cell shape","4.97E-17","murB|murC|murE|mviN|ACA98643.1|murD|mraY|rodA|ACB00308.1|murG|murF","253919","5533|5521|4636|4558|3349|6040|1498|6250|4381|1231|6331","6.71E-19","","GO:0008360","1.630364361126667","0"
"15","10","UniProt Keywords","","Cell shape","2.23E-16","murB|murC|murE|mviN|ACA98643.1|murD|mraY|rodA|murG|murF","253919","5533|5521|4636|4558|3349|6040|1498|6250|1231|6331","1.04E-18","","KW-0133","1.5651695136951838","0"
"15","10","UniProt Keywords","","Peptidoglycan synthesis","2.23E-16","murB|murC|murE|mviN|ACA98643.1|murD|mraY|rodA|murG|murF","253919","5533|5521|4636|4558|3349|6040|1498|6250|1231|6331","1.04E-18","","KW-0573","1.5651695136951838","0"
"124","14","STRING Clusters","","Mixed, incl. Cell wall organization or biogenesis, and Localization","2.51E-16","murB|murC|murE|mviN|ACA98643.1|murD|mraY|ACA99598.1|rodA|ACB00278.1|tagO|alrA|murG|murF","253919","5533|5521|4636|4558|3349|6040|1498|1486|6250|4639|2578|2806|1231|6331","3.1E-18","","CL:3658","1.5600326278518961","0"
