"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"42","5","KEGG Pathways","","Purine metabolism","5.86E-7","nrdB|ndk|ACA98913.1|pyk|ACB00785.1","163300","823|4870|3655|1639|2878","6.04E-9","","syp00230","1.0","0"
"5","3","STRING Clusters","","Ribonucleoside-diphosphate reductase complex, and Nucleobase-containing compound kinase activity","1.9E-4","nrdB|ndk|ACB00785.1","163300","823|4870|2878","2.96E-7","","CL:3089","0.5971093171722791","0"
"110","5","GO Biological Process","","Nucleotide metabolic process","6.6E-4","nrdB|ndk|dcd|pyk|ACB00785.1","163300","823|4870|6100|1639|2878","5.92E-7","","GO:0009117","0.5103343732979602","0"
"54","4","STRING Clusters","","Nucleoside monophosphate metabolic process, and Pyrimidine metabolism","7.5E-4","nrdB|ndk|dcd|ACB00785.1","163300","823|4870|6100|2878","2.32E-6","","CL:2994","0.5014260909192039","0"
"25","3","KEGG Pathways","","Pyrimidine metabolism","8.3E-4","nrdB|ndk|dcd","163300","823|4870|6100","1.7E-5","","syp00240","0.4943631727782073","0"
"550","6","KEGG Pathways","","Metabolic pathways","0.0018","nrdB|ndk|ACA98913.1|dcd|pyk|ACB00785.1","163300","823|4870|3655|6100|1639|2878","5.64E-5","","syp01100","0.4404175871614919","0"
"194","5","GO Biological Process","","Carbohydrate derivative metabolic process","0.0021","nrdB|ndk|dcd|pyk|ACB00785.1","163300","823|4870|6100|1639|2878","9.29E-6","","GO:1901135","0.4296753391196941","0"
"26","3","GO Biological Process","","Nucleoside triphosphate metabolic process","0.0035","ndk|dcd|pyk","163300","4870|6100|1639","1.9E-5","","GO:0009141","0.39407760083693344","0"
"5","2","GO Biological Process","","Pyrimidine nucleoside triphosphate biosynthetic process","0.0097","ndk|dcd","163300","4870|6100","7.84E-5","","GO:0009148","0.3230415904122924","0"
"6","2","GO Biological Process","","Deoxyribonucleotide biosynthetic process","0.0116","nrdB|dcd","163300","823|6100","1.0E-4","","GO:0009263","0.31057609318934126","0"
"5","2","UniProt Keywords","","Nucleotide metabolism","0.0168","ndk|dcd","163300","4870|6100","7.84E-5","","KW-0546","0.28476597605898524","0"
"10","2","GO Biological Process","","Nucleoside diphosphate phosphorylation","0.0197","ndk|pyk","163300","4870|1639","2.5E-4","","GO:0006165","0.27366908769375536","0"
"63","3","GO Biological Process","","Purine ribonucleotide metabolic process","0.0197","ndk|pyk|ACB00785.1","163300","4870|1639|2878","2.3E-4","","GO:0009150","0.27366908769375536","0"
"82","3","GO Biological Process","","Nucleotide biosynthetic process","0.0234","nrdB|ndk|dcd","163300","823|4870|6100","4.9E-4","","GO:0009165","0.26167479962803364","0"
"18","2","GO Biological Process","","Pyrimidine nucleotide biosynthetic process","0.03","ndk|dcd","163300","4870|6100","7.0E-4","","GO:0006221","0.24436035409086407","0"
"19","2","GO Biological Process","","Purine ribonucleoside triphosphate metabolic process","0.0312","ndk|pyk","163300","4870|1639","7.7E-4","","GO:0009205","0.24162719307243144","0"
