"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"11","6","GO Biological Process","","Response to oxidative stress","1.35E-10","gpo|msrA|msrB|ACA98973.1|glbN|katG","163300","3931|3052|2668|3436|1369|2341","1.22E-13","","GO:0006979","1.0","0"
"5","5","STRING Clusters","","Response to oxidative stress","2.26E-9","msrA|msrB|ACA98973.1|glbN|katG","163300","3052|2668|3436|1369|2341","3.5E-12","","CL:4328","0.8760064786440316","0"
"22","5","GO Biological Process","","Cellular response to chemical stimulus","6.17E-7","gpo|msrA|ACA98973.1|glbN|katG","163300","3931|3052|3436|1369|2341","1.11E-9","","GO:0070887","0.6291717156700505","0"
"11","4","GO Molecular Function","","Peroxidase activity","1.06E-5","gpo|ACA98973.1|glbN|katG","163300","3931|3436|1369|2341","1.77E-8","","GO:0004601","0.5040387403228989","0"
"4","3","UniProt Keywords","","Peroxidase","6.92E-5","gpo|ACA98973.1|katG","163300","3931|3436|2341","3.23E-7","","KW-0575","0.4214827338602831","0"
"101","5","UniProt Keywords","","Oxidoreductase","1.4E-4","gpo|msrA|msrB|ACA98973.1|katG","163300","3931|3052|2668|3436|2341","1.33E-6","","KW-0560","0.39047642280139166","0"
"274","6","GO Molecular Function","","Oxidoreductase activity","8.6E-4","gpo|msrA|msrB|ACA98973.1|glbN|katG","163300","3931|3052|2668|3436|1369|2341","5.73E-6","","GO:0016491","0.31059829956265744","0"
"39","3","Reactome Pathways","","Latent infection - Other responses of Mtb to phagocytosis","0.0016","msrA|glbN|katG","163300","3052|1369|2341","1.0E-4","","MAP-1222499","0.283280098005679","0"
"60","3","Reactome Pathways","","Disease","0.0023","msrA|glbN|katG","163300","3052|1369|2341","3.5E-4","","MAP-1643685","0.267311183792697","0"
"57","3","Reactome Pathways","","Infectious disease","0.0023","msrA|glbN|katG","163300","3052|1369|2341","3.0E-4","","MAP-5663205","0.267311183792697","0"
"56","3","Reactome Pathways","","Infection with Mycobacterium tuberculosis","0.0023","msrA|glbN|katG","163300","3052|1369|2341","2.8E-4","","MAP-9635486","0.267311183792697","0"
"2","2","GO Molecular Function","","Glutathione peroxidase activity","0.0038","gpo|ACA98973.1","163300","3931|3436","3.14E-5","","GO:0004602","0.2452176544387701","0"
"4","2","GO Biological Process","","Cellular response to oxidative stress","0.0073","msrA|glbN","163300","3052|1369","7.83E-5","","GO:0034599","0.21648930062690977","0"
"5","2","GO Molecular Function","","Oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor","0.0109","msrA|msrB","163300","3052|2668","1.1E-4","","GO:0016671","0.1988490244781165","0"
"2","2","Pfam","","Glutathione peroxidase","0.0132","gpo|ACA98973.1","163300","3931|3436","3.14E-5","","PF00255","0.19042448090035996","0"
"2","2","InterPro Domains","","Glutathione peroxidase","0.0372","gpo|ACA98973.1","163300","3931|3436","3.14E-5","","IPR000889","0.14483337395494977","0"
"2","2","InterPro Domains","","Glutathione peroxidase active site","0.0372","gpo|ACA98973.1","163300","3931|3436","3.14E-5","","IPR029759","0.14483337395494977","0"
