"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"44","16","STRING Clusters","","Photosystem, and Electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity","1.08E-22","psbZ|psbE|psbJ|psbH|psbN|petD|psbT|psbA|psbC|psbD|ycf3|psbB|petA|psbA-2|psbD-2|psbK","163300","3784|2932|2938|4888|4894|5011|3478|4732|2965|2947|2395|5782|1744|5050|5128|3934","1.67E-25","","CL:1024","2.196657624451305","0"
"124","18","STRING Clusters","","Mixed, incl. Photosynthesis, and Photosynthesis","5.07E-21","psbZ|psbE|psbJ|psbH|psbN|petD|psbT|ACA98985.1|psbA|psbC|psbD|ycf3|psbB|petA|psbA-2|psbD-2|ACB00609.1|psbK","163300","3784|2932|2938|4888|4894|5011|3478|3379|4732|2965|2947|2395|5782|1744|5050|5128|6172|3934","2.35E-23","","CL:881","2.029499204066666","0"
"38","14","STRING Clusters","","Photosystem","1.0E-19","psbZ|psbE|psbJ|psbH|psbN|psbT|psbA|psbC|psbD|ycf3|psbB|psbA-2|psbD-2|psbK","163300","3784|2932|2938|4888|4894|3478|4732|2965|2947|2395|5782|5050|5128|3934","7.75E-22","","CL:1025","1.9","0"
"97","16","GO Cellular Component","","Plasma membrane-derived thylakoid membrane","1.68E-18","psbZ|psbE|psbJ|psbH|psbN|petD|psbT|psbA|psbC|psbD|ycf3|psbB|petA|psbA-2|psbD-2|psbK","163300","3784|2932|2938|4888|4894|5011|3478|4732|2965|2947|2395|5782|1744|5050|5128|3934","1.17E-20","","GO:0031676","1.7774690718274138","0"
"21","12","STRING Clusters","","Photosystem II","3.24E-18","psbZ|psbE|psbJ|psbH|psbT|psbA|psbC|psbD|psbB|psbA-2|psbD-2|psbK","163300","3784|2932|2938|4888|3478|4732|2965|2947|5782|5050|5128|3934","3.01E-20","","CL:1028","1.7489454989793387","0"
"29","12","GO Cellular Component","","Photosystem II","1.04E-17","psbZ|psbE|psbJ|psbH|psbT|psbA|psbC|psbD|psbB|psbA-2|psbD-2|psbK","163300","3784|2932|2938|4888|3478|4732|2965|2947|5782|5050|5128|3934","6.58E-19","","GO:0009523","1.698296666070122","0"
"59","14","UniProt Keywords","","Photosynthesis","3.35E-17","psbZ|psbE|psbJ|psbH|petD|psbT|psbA|psbC|psbD|ycf3|psbB|petA|psbA-2|psbK","163300","3784|2932|2938|4888|5011|3478|4732|2965|2947|2395|5782|1744|5050|3934","1.56E-19","","KW-0602","1.6474955192963154","0"
"87","15","UniProt Keywords","","Thylakoid","3.35E-17","psbZ|psbE|psbJ|psbH|psbN|petD|psbT|psbA|psbC|psbD|ycf3|psbB|petA|psbA-2|psbK","163300","3784|2932|2938|4888|4894|5011|3478|4732|2965|2947|2395|5782|1744|5050|3934","2.56E-19","","KW-0793","1.6474955192963154","0"
"27","12","COMPARTMENTS","","Photosystem II","8.57E-17","psbZ|psbE|psbJ|psbH|psbT|psbA|psbC|psbD|psbB|psbA-2|psbD-2|psbK","163300","3784|2932|2938|4888|3478|4732|2965|2947|5782|5050|5128|3934","3.27E-19","","GOCC:0009523","1.6067019178076802","0"
"111","16","GO Biological Process","","Photosynthesis","9.47E-17","psbZ|psbE|psbJ|psbH|psbN|petD|psbT|psbA|psbC|psbD|ycf3|psbB|petA|psbA-2|psbD-2|psbK","163300","3784|2932|2938|4888|4894|5011|3478|4732|2965|2947|2395|5782|1744|5050|5128|3934","8.52E-20","","GO:0015979","1.6023650020996727","0"
"20","11","UniProt Keywords","","Photosystem II","1.81E-16","psbZ|psbE|psbJ|psbH|psbT|psbA|psbC|psbD|psbB|psbA-2|psbK","163300","3784|2932|2938|4888|3478|4732|2965|2947|5782|5050|3934","2.53E-18","","KW-0604","1.5742321425130816","0"
"77","14","COMPARTMENTS","","Thylakoid","5.74E-16","psbZ|psbE|psbJ|psbH|petD|psbT|psbA|psbC|psbD|psbB|petA|psbA-2|psbD-2|psbK","163300","3784|2932|2938|4888|5011|3478|4732|2965|2947|5782|1744|5050|5128|3934","4.38E-18","","GOCC:0009579","1.5241088107602025","0"
"57","13","KEGG Pathways","","Photosynthesis","9.05E-16","psbZ|psbE|psbJ|psbH|petD|psbT|psbA|psbC|psbD|psbB|petA|psbA-2|psbK","163300","3784|2932|2938|4888|5011|3478|4732|2965|2947|5782|1744|5050|3934","9.33E-18","","syp00195","1.5043351420794797","0"
"67","13","COMPARTMENTS","","Photosynthetic membrane","3.98E-15","psbZ|psbE|psbJ|psbH|psbT|psbA|psbC|psbD|psbB|petA|psbA-2|psbD-2|psbK","163300","3784|2932|2938|4888|3478|4732|2965|2947|5782|1744|5050|5128|3934","6.07E-17","","GOCC:0034357","1.4400116927926312","0"
"15","9","STRING Clusters","","Photosystem II","3.23E-13","psbE|psbH|psbA|psbC|psbD|psbB|psbA-2|psbD-2|psbK","163300","2932|4888|4732|2965|2947|5782|5050|5128|3934","3.5E-15","","CL:1029","1.2490797477668898","0"
"457","17","GO Cellular Component","","Plasma membrane","5.15E-11","psbZ|psbE|psbJ|psbH|psbN|petD|psbT|psbA|psbC|psbD|ycf3|psbB|petA|ACB00144.1|psbA-2|psbD-2|psbK","163300","3784|2932|2938|4888|4894|5011|3478|4732|2965|2947|2395|5782|1744|5059|5050|5128|3934","5.76E-12","","GO:0005886","1.0288192770958808","0"
"14","8","GO Biological Process","","Photosynthetic electron transport chain","1.22E-10","psbE|petD|psbA|psbC|psbD|psbB|psbA-2|psbD-2","163300","2932|5011|4732|2965|2947|5782|5050|5128","2.2E-13","","GO:0009767","0.9913640169325252","0"
"8","7","GO Molecular Function","","Electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity","6.39E-10","petD|psbA|psbC|psbD|psbB|psbA-2|psbD-2","163300","5011|4732|2965|2947|5782|5050|5128","1.07E-12","","GO:0045156","0.91944991418416","0"
"52","9","GO Molecular Function","","Electron transfer activity","1.23E-8","psbE|petD|psbA|psbC|psbD|psbB|petA|psbA-2|psbD-2","163300","2932|5011|4732|2965|2947|5782|1744|5050|5128","4.12E-11","","GO:0009055","0.7910094888560602","0"
"34","8","GO Molecular Function","","Tetrapyrrole binding","1.51E-8","psbE|psbA|psbC|psbD|psbB|petA|psbA-2|psbD-2","163300","2932|4732|2965|2947|5782|1744|5050|5128","7.59E-11","","GO:0046906","0.782102305270683","0"
"7","6","GO Biological Process","","Photosynthetic electron transport in photosystem II","1.84E-8","psbA|psbC|psbD|psbB|psbA-2|psbD-2","163300","4732|2965|2947|5782|5050|5128","6.22E-11","","GO:0009772","0.7735182176990463","0"
"10","6","GO Molecular Function","","Chlorophyll binding","4.3E-8","psbA|psbC|psbD|psbB|psbA-2|psbD-2","163300","4732|2965|2947|5782|5050|5128","2.87E-10","","GO:0016168","0.7366531544420414","0"
"7","5","GO Cellular Component","","Photosystem II reaction center","4.37E-8","psbZ|psbE|psbJ|psbT|psbK","163300","3784|2932|2938|3478|3934","5.81E-9","","GO:0009539","0.7359518563029578","0"
