"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"5","4","STRING Clusters","","Cyclic nucleotide-binding domain superfamily","1.53E-7","ACA98389.1|ACA99230.1|ACA99777.1|ACA99849.1","253919","796|733|7462|5266","2.37E-10","","CL:2034","1.0","0"
"8","4","InterPro Domains","","Cyclic nucleotide-binding domain superfamily","1.1E-6","ACA98389.1|ACA99230.1|ACA99777.1|ACA99849.1","253919","796|733|7462|5266","9.29E-10","","IPR018490","0.874297510429025","0"
"19","4","InterPro Domains","","RmlC-like jelly roll fold","9.82E-6","ACA98389.1|ACA99230.1|ACA99777.1|ACA99849.1","253919","796|733|7462|5266","1.66E-8","","IPR014710","0.7347999670708705","0"
"7","3","SMART Domains","","Cyclic nucleotide-monophosphate binding domain","3.37E-5","ACA98389.1|ACA99777.1|ACA99849.1","253919","796|7462|5266","3.17E-7","","SM00100","0.6562241538632475","0"
"5","3","InterPro Domains","","Crp-type HTH domain","5.86E-5","ACA99230.1|ACA99777.1|ACA99849.1","253919","733|7462|5266","1.48E-7","","IPR012318","0.6209700325409644","0"
"7","3","InterPro Domains","","Cyclic nucleotide-binding domain","9.41E-5","ACA98389.1|ACA99777.1|ACA99849.1","253919","796|7462|5266","3.17E-7","","IPR000595","0.5907891529342407","0"
"3","2","SMART Domains","","Helix_turn_helix, cAMP Regulatory protein","0.0013","ACA99230.1|ACA99777.1","253919","733|7462","2.5E-5","","SM00419","0.423466761394105","0"
"36","3","KEGG Pathways","","Quorum sensing","0.0023","ACA98389.1|ACA99777.1|ACA99849.1","253919","796|7462|5266","2.38E-5","","syp02024","0.3871097158993209","0"
"27","3","InterPro Domains","","Winged helix DNA-binding domain superfamily","0.0025","ACA99230.1|ACA99777.1|ACA99849.1","253919","733|7462|5266","1.06E-5","","IPR036390","0.381796358142023","0"
"52","3","KEGG Pathways","","Two-component system","0.0033","ACA98389.1|ACA99777.1|ACA99849.1","253919","796|7462|5266","6.78E-5","","syp02020","0.3641047261371181","0"
"42","3","UniProt Keywords","","Transcription regulation","0.0079","ACA99230.1|ACA99777.1|ACA99849.1","253919","733|7462|5266","3.68E-5","","KW-0805","0.30847802228883814","0"
"97","4","GO Biological Process","","Regulation of transcription, DNA-templated","0.0083","ACA98389.1|ACA99230.1|ACA99777.1|ACA99849.1","253919","796|733|7462|5266","7.47E-6","","GO:0006355","0.3053305490867252","0"
"75","3","UniProt Keywords","","DNA-binding","0.0138","ACA99230.1|ACA99777.1|ACA99849.1","253919","733|7462|5266","1.9E-4","","KW-0238","0.27293275054483895","0"
"53","3","InterPro Domains","","Winged helix-like DNA-binding domain superfamily","0.0141","ACA99230.1|ACA99777.1|ACA99849.1","253919","733|7462|5266","7.16E-5","","IPR036388","0.27156230250725816","0"
"157","4","GO Molecular Function","","DNA binding","0.029","ACA98389.1|ACA99230.1|ACA99777.1|ACA99849.1","253919","796|733|7462|5266","4.84E-5","","GO:0003677","0.225610034599725","0"
