"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"44","5","STRING Clusters","","Homologous recombination, and DNA damage","1.67E-5","mutS|ACA98344.1|priA|pcrA|polA","163300","4147|1585|970|4375|1069","2.59E-8","","CL:2845","1.0","0"
"54","5","GO Molecular Function","","Catalytic activity, acting on DNA","4.05E-5","mutS|priA|pcrA|polA|ACA99458.1","163300","4147|970|4375|1069|3808","6.75E-8","","GO:0140097","0.9194649951706958","0"
"21","4","GO Molecular Function","","ATP-dependent activity, acting on DNA","4.88E-5","mutS|priA|pcrA|ACA99458.1","163300","4147|970|4375|3808","1.63E-7","","GO:0008094","0.9025171212798003","0"
"161","6","GO Molecular Function","","Catalytic activity, acting on a nucleic acid","5.15E-5","mutS|ACA98344.1|priA|pcrA|polA|ACA99458.1","163300","4147|1585|970|4375|1069|3808","2.58E-7","","GO:0140640","0.8976215761656718","0"
"29","4","STRING Clusters","","DNA damage, and Mismatch repair","1.1E-4","mutS|ACA98344.1|pcrA|polA","163300","4147|1585|4375|1069","5.24E-7","","CL:2846","0.8286314368686212","0"
"108","5","GO Molecular Function","","ATP-dependent activity","2.7E-4","mutS|ACA98344.1|priA|pcrA|ACA99458.1","163300","4147|1585|970|4375|3808","1.83E-6","","GO:0140657","0.7470011386781262","0"
"11","3","STRING Clusters","","Mixed, incl. Nucleotide excision repair, and DNA helicase, ATP-dependent, RecQ type","5.4E-4","ACA98344.1|pcrA|polA","163300","1585|4375|1069","3.34E-6","","CL:2877","0.6839883420027961","0"
"96","5","GO Biological Process","","DNA metabolic process","0.0012","mutS|ACA98344.1|priA|polA|ACA99458.1","163300","4147|1585|970|1069|3808","1.04E-6","","GO:0006259","0.6113974053061918","0"
"315","6","GO Molecular Function","","Nucleic acid binding","0.0013","mutS|ACA98344.1|priA|pcrA|polA|ACA99458.1","163300","4147|1585|970|4375|1069|3808","1.29E-5","","GO:0003676","0.6041208628842765","0"
"157","5","GO Molecular Function","","DNA binding","0.0013","mutS|priA|pcrA|polA|ACA99458.1","163300","4147|970|4375|1069|3808","1.11E-5","","GO:0003677","0.6041208628842765","0"
"19","3","GO Molecular Function","","Helicase activity","0.0013","ACA98344.1|priA|pcrA","163300","1585|970|4375","1.4E-5","","GO:0004386","0.6041208628842765","0"
"18","3","GO Cellular Component","","Chromosome","0.0017","ACA98344.1|priA|ACA99458.1","163300","1585|970|3808","1.21E-5","","GO:0005694","0.5797334535191422","0"
"75","4","UniProt Keywords","","DNA-binding","0.004","mutS|priA|pcrA|polA","163300","4147|970|4375|1069","1.85E-5","","KW-0238","0.5019463454889526","0"
"19","3","GO Biological Process","","DNA conformation change","0.0078","priA|pcrA|ACA99458.1","163300","970|4375|3808","1.4E-5","","GO:0071103","0.4412351464129812","0"
"7","2","GO Cellular Component","","Replisome","0.0134","ACA98344.1|priA","163300","1585|970","1.9E-4","","GO:0030894","0.3920418770047532","0"
"9","2","GO Molecular Function","","DNA helicase activity","0.0179","priA|pcrA","163300","970|4375","2.9E-4","","GO:0003678","0.36571975652443656","0"
"298","5","GO Molecular Function","","ATP binding","0.0179","mutS|ACA98344.1|priA|pcrA|ACA99458.1","163300","4147|1585|970|4375|3808","2.4E-4","","GO:0005524","0.36571975652443656","0"
"8","2","KEGG Pathways","","Nucleotide excision repair","0.0227","pcrA|polA","163300","4375|1069","2.3E-4","","syp03420","0.3441232099535418","0"
"16","2","KEGG Pathways","","Mismatch repair","0.0382","mutS|pcrA","163300","4147|4375","7.9E-4","","syp03430","0.29680813971468495","0"
"19","2","KEGG Pathways","","Homologous recombination","0.0382","priA|polA","163300","970|1069","0.0011","","syp03440","0.29680813971468495","0"
